Codigo ; Nombre ;  Saldo Inicial ; Debitos ; Creditos ; Saldo Corriente ; Saldo NO Corriente
110505 ; CAJA GENERAL ; 1727456;431265344;431375727;0;1617073
110510 ; CAJA MENOR ; 0;3100000;0;0;3100000
111005 ; MONEDA NACIONAL ; 25444457;21447146;47440672;0;-549068
112005 ; BANCOS  ; 500836926;1482600054;1529822046;0;453614934
120520 ; OTRAS EMPRESAS ; 6500000;0;0;0;6500000
122505 ; CERTIFICADOS DE DEPOSITO A TERMINO (CDT) ; 403248600;204168199;607416799;0;0
129595 ; DIVERSAS ; 23564523;426643;0;0;23991166
129905 ; ACCIONES ; 6500000;0;0;0;6500000
130505 ; ENTIDADES PROMOTORAS DE SALUD CONTRIBUTIVO ; 455306142;280335116;270400335;0;465240924
130506 ; ENTIDADES PROMOTORAS DE SALUD SUBSIDIADO ; 291147010;36632779;39533926;0;288245863
130510 ; INSTITUCIONES PRESTADORAS DE SERVICIOS DE SALUD ; 75316562;30450558;4487230;0;101279890
130515 ; EMPRESAS DE MEDICINA PREPAGADA Y PLANES COMPLEMENTARIOS ; 0;0;0;0;0
130525 ; PARTICULARES PERSONAS NATURALES ; 5781857;16463400;13044391;0;9200866
130530 ; PARTICULARES - PERSONAS JURIDICAS ; 2859585;0;0;0;2859585
130550 ; ADMINISTRADORA DE RIESGOS PROFESIONALES ; 2527459;1321179;59400;0;3789238
130565 ; ENTES TERRITORIALES  ; 2511308192;1220463710;695505192;0;3036266710
130575 ; ENTIDADES DEL REGIMEN DE EXCEPCION ; 36737809;17409995;1402603;0;52745201
131205 ; PARTICULARES ; 38222768;0;13333333;0;24889435
133005 ; A PROVEEDORES ; 19000;10484690;6320517;0;4183173
133010 ; A CONTRATISTAS  ; 451170338;2350000;102606787;0;350913551
133015 ; A TRABAJADORES ; 1649001;1890000;599001;0;2940000
133099 ; OTROS ANTICIPOS ; 6622800;6679300;4222400;0;9079700
136505 ; EDUCACION ; 0;5300000;0;0;5300000
136510 ; CALAMIDAD DOMESTICA ; 142610;90000;160000;0;72610
136599 ; OTROS ; 3390000;0;0;0;3390000
138020 ; INTERESES ; 3513494;1105446;4618940;0;0
138050 ; VENTA DE PROPIEDADES- PLANTA Y EQUIPO ; 0;0;0;0;0
138095 ; OTROS ; 42295375;40146950;25619654;0;56822671
139005 ; CLIENTES ; 326740036;0;0;0;326740036
139905 ; CLIENTES ; 724888401;924431;68024767;0;791988737
141505 ; MEDICAMENTOS ; 23293284;25115383;28993872;0;19414795
142005 ; MATERIALES MEDICO QUIRURGICOS ; 1968089;2609779;2105549;0;2472319
142205 ; MATERIALES ODONTOLOGICOS ; 0;0;0;0;0
143505 ; VIVERES Y RANCHO ; 4677587;90305152;93261861;0;1720877
145510 ; DOTACION PARA TRABAJADORES ; 456769;7110829;3193555;0;4374044
145515 ; ROPA HOSPITALARIA Y QUIRURGICA ; 8999833;72000;70000;0;9001833
145520 ; ELEMENTOS DE ASEO Y LAVANDERIA ; 3009731;11055539;10780708;0;3284562
145525 ; REPUESTOS Y ELEMENTOS PARA MANTENIMIENTO ; 3266515;9679322;9831534;0;3114304
145530 ; COMBUSTIBLES ; 5854708;30034401;28188452;0;7700657
145535 ; MENAJE Y UTENSILIOS DE COCINA ; 10123793;64050;87391;0;10100452
145540 ; MATERIALES DE CONSTRUCCION ; 379654;6897776;6987114;0;290317
145545 ; ACTIVOS NUEVOS EN ALMACEN ; 5263000;523000;2526000;0;3260000
145550 ; REPUESTOS- MAQUINARIA Y EQUIPO MEDICO CIENTIFICO ; 201000;0;201000;0;-0
145590 ; OTROS SUMINISTROS ; 461122;3524003;3793998;0;191126
150405 ; URBANOS ; 630389888;0;0;0;630389888
150410 ; RURALES ; 33118212;0;0;0;33118212
150805 ; CONSTRUCCIONES Y EDIFICACIONES ; 193878329;342674998;0;0;536553327
151605 ; EDIFICIOS ; 4516062422;0;0;0;4516062422
151620 ; PARQUEADEROS ; 450701612;0;0;0;450701612
152005 ; MAQUINARIA Y EQUIPO ; 141771713;1784000;28966;0;143526747
152405 ; EQUIPO DE OFICINA ; 171117331;2673000;2873429;0;170916902
152805 ; EQUIPO DE COMPUTO Y COMUNICACION ; 188785916;17268779;4491100;0;201563595
153205 ; MAQUINARIA Y EQUIPO MEDICO CIENTIFICO ; 107027552;847000;366688;0;107507864
153605 ; MAQUINARIA Y EQUIPO DE HOTELERIA ; 82431678;54778857;0;0;137210535
153610 ; MAQUINARIA Y EQUIPO DE RESTAURANTE Y CAFETERIA ; 379730401;0;53358507;0;326371894
153615 ; MAQUINARIA Y EQUIPO DE CALDERAS ; 225000000;0;0;0;225000000
153620 ; MAQUINARIA Y EQUIPO DE LAVANDERIA ; 430700000;0;0;0;430700000
154005 ; AUTOS- CAMIONETAS Y CAMPEROS ; 142302000;0;0;0;142302000
155610 ; PLANTAS DE GENERACION DE ENERGIA ; 1984000;0;120000;0;1864000
156005 ; ARMAMENTO DE VIGILANCIA ; 80000;0;0;0;80000
159216 ; CONSTRUCCIONES Y EDIFICACIONES ; 2329473947;0;56315695;0;2385789642
159220 ; MAQUINARIA Y EQUIPO ; 100075467;0;3169437;0;103244904
159224 ; EQUIPO DE OFICINA ; 155737641;1529048;2176310;0;156384903
159228 ; EQUIPO DE COMPUTO Y COMUNICACION ; 111484614;3428538;11208127;0;119264203
159232 ; MAQUINARIA Y EQUIPO MEDICO CIENTIFICO ; 72113848;200000;2744312;0;74658160
159236 ; EQUIPO DE HOTELERIA- RESTAURANTE Y CAFETERIA ; 863779764;50074473;90648875;0;904354166
159240 ; EQUIPO DE TRANSPORTE  ; 91978821;0;0;0;91978821
159256 ; ACUEDUCTOS- PLANTAS Y REDES  ; 1684000;120000;30000;0;1594000
159260 ; ARMAMENTO DE VIGILANCIA ; 80000;0;0;0;80000
162510 ; EN FIDEICOMISOS  ; 32465519;0;0;0;32465519
169815 ; DERECHOS ; 3246552;0;1623277;0;4869829
170530 ; SEGUROS ; 21036869;916717;12673832;0;9279754
170536 ; SUSCRIPCION Y REVISTAS ; 1428057;1702000;765332;0;2364725
170590 ; DIVERSOS ; 0;15510820;15510820;0;0
171010 ; REMODELACIONES Y MEJORAS A INSTALACIONES ; -0;0;0;0;-0
171015 ; ESTUDIOS- INVESTIGACIONES Y PROYECTOS ; 6186074;0;1767000;0;4419074
171020 ; PROGRAMAS PARA COMPUTADOR (SOFTWARE) ; 45608573;0;5701080;0;39907493
171025 ; UTILES Y PAPELERIA ; 6597308;8102000;7612719;0;7086590
171040 ; PUBLICIDAD-PROPAGANDA Y PROMOCION ; 4036687;1058427;955009;0;4140105
171095 ; OTROS ; 0;0;0;0;0
180515 ; BIENES DE CULTO ; 29672000;0;0;0;29672000
