"departamento";"codigo"
"ANTIOQUIA";"05"
"ATLÁNTICO";"08"
"BOLÍVAR";"13"
"BOYACA";"15"
"CALDAS";"17"
"CAQUETÁ";"18"
"CAUCA";"19"
"CESAR";"20"
"CUNDINAMARCA";"25"
"CHOCÓ";"27"
"HUILA";"41"
"LA GUAJIRA";"44"
"MAGDALENA";"47"
"SANTAMARTA D.E";"48"
"META";"50"
"NARIÑO";"52"
"NORTE DE SANTANDER";"54"
"QUINDIO";"63"
"RISARALDA";"66"
"SANTANDER";"68"
"SUCRE";"70"
"TOLIMA";"73"
"VALLE";"76"
"ARAUCA";"81"
"CASANARE";"85"
"PUTUMAYO";"86"
"SAN ANDRÉS";"88"
"AMAZONAS";"91"
"GUAINÍA";"94"
"GUAVIARE";"95"
"VAUPÉS";"97"
"VICHADA";"99"
"CORDOBA";"23"
"BOGOTA DC";"11"
"OTRO";"00"
