"municipio";"departamento";"codmpo"
"EL DOVIO";"76";"250"
"FLORIDA";"76";"275"
"GINEBRA";"76";"306"
"GUACARI";"76";"318"
"JAMUNDI";"76";"364"
"LA CUMBRE";"76";"377"
"LA UNION";"76";"400"
"LA VICTORIA";"76";"403"
"OBANDO";"76";"497"
"PALMIRA";"76";"520"
"PRADERA";"76";"563"
"RESTREPO";"76";"606"
"RIOFRIO";"76";"616"
"ROLDANILLO";"76";"622"
"SAN PEDRO";"76";"670"
"SEVILLA";"76";"736"
"TORO";"76";"823"
"TRUJILLO";"76";"828"
"TULUA";"76";"834"
"ULLOA";"76";"845"
"VERSALLES";"76";"863"
"VIJES";"76";"869"
"YOTOCO";"76";"890"
"YUMBO";"76";"892"
"ZARZAL";"76";"895"
"ARAUCA";"81";"001"
"ARAUQUITA";"81";"065"
"CRAVO NORTE";"81";"220"
"FORTUL";"81";"300"
"PUERTO RONDON";"81";"591"
"SARAVENA";"81";"736"
"TAME";"81";"794"
"YOPAL";"85";"001"
"LA MESA";"25";"386"
"CHIMA";"68";"176"
"CHIPATA";"68";"179"
"CIMITARRA";"68";"190"
"CONCEPCION";"68";"207"
"CONFINES";"68";"209"
"CONTRATACION";"68";"211"
"COROMORO";"68";"217"
"CURITI";"68";"229"
"EL CARMEN";"68";"235"
"EL GUACAMAYO";"68";"245"
"EL PEÑON";"68";"250"
"EL PLAYON";"68";"255"
"ENCINO";"68";"264"
"ENCISO";"68";"266"
"FLORIAN";"68";"271"
"FLORIDABLANCA";"68";"276"
"GALAN";"68";"296"
"GAMBITA";"68";"298"
"GIRON";"68";"307"
"GUACA";"68";"318"
"GUADALUPE";"68";"320"
"GUAPOTA";"68";"322"
"GUAVATA";"68";"324"
"GUEPSA";"68";"327"
"HATO";"68";"344"
"JESUS MARIA";"68";"368"
"JORDAN";"68";"370"
"LA BELLEZA";"68";"377"
"LANDAZURI";"68";"385"
"LA PAZ";"68";"397"
"LEBRIJA";"68";"406"
"LOS SANTOS";"68";"418"
"MACARAVITA";"68";"425"
"MALAGA";"68";"432"
"MATANZA";"68";"444"
"MOGOTES";"68";"464"
"MOLAGAVITA";"68";"468"
"OCAMONTE";"68";"498"
"OIBA";"68";"500"
"ONZAGA";"68";"502"
"PALMAR";"68";"522"
"PALMAS DEL SOCORRO";"68";"524"
"PARAMO";"68";"533"
"PIEDECUESTA";"68";"547"
"PINCHOTE";"68";"549"
"PUENTE NACIONAL";"68";"572"
"PUERTO PARRA";"68";"573"
"PUERTO WILCHES";"68";"575"
"RIONEGRO";"68";"615"
"SABANA DE TORRES";"68";"655"
"SAN ANDRES";"68";"669"
"SAN BENITO";"68";"673"
"SAN GIL";"68";"679"
"SAN JOAQUIN";"68";"682"
"SAN JOSE DE MIRANDA";"68";"684"
"SAN MIGUEL";"68";"686"
"ALTOS DEL ROSARIO";"13";"030"
"ARENAL";"13";"042"
"ARJONA";"13";"052"
"BARRANCO DE LOBA";"13";"074"
"CALAMAR";"13";"140"
"CANTAGALLO";"13";"160"
"CICUCO";"13";"188"
"CORDOBA";"13";"212"
"CLEMENCIA";"13";"222"
"EL CARMEN DE BOLIVAR";"13";"244"
"EL GUAMO";"13";"248"
"EL PEÑON";"13";"268"
"MONGUI";"15";"466"
"CHINACOTA";"54";"172"
"CHITAGA";"54";"174"
"CONVENCION";"54";"206"
"CUCUTILLA";"54";"223"
"DURANIA";"54";"239"
"EL CARMEN";"54";"245"
"EL TARRA";"54";"250"
"EL ZULIA";"54";"261"
"GRAMALOTE";"54";"313"
"HACARI";"54";"344"
"HERRAN";"54";"347"
"LABATECA";"54";"377"
"LA ESPERANZA";"54";"385"
"LA PLAYA";"54";"398"
"LOS PATIOS";"54";"405"
"LOURDES";"54";"418"
"MUTISCUA";"54";"480"
"OCAÑA";"54";"498"
"PAMPLONA";"54";"518"
"PAMPLONITA";"54";"520"
"PUERTO SANTANDER";"54";"553"
"RAGONVALIA";"54";"599"
"SALAZAR";"54";"660"
"SAN CALIXTO";"54";"670"
"SAN CAYETANO";"54";"673"
"SANTIAGO";"54";"680"
"SARDINATA";"54";"720"
"SILOS";"54";"743"
"TEORAMA";"54";"800"
"TIBU";"54";"810"
"TOLEDO";"54";"820"
"CARTAGENA (DISTRITO)";"13";"001"
"ACHI";"13";"006"
"AGUAZUL";"85";"010"
"CHAMEZA";"85";"015"
"SAN VICENTE DE CHUCURI";"68";"689"
"SANTA BARBARA";"68";"705"
"SANTA HELENA DEL OPON";"68";"720"
"SIMACOTA";"68";"745"
"SOCORRO";"68";"755"
"SUAITA";"68";"770"
"SUCRE";"68";"773"
"SURATA";"68";"780"
"TONA";"68";"820"
"VALLE DE SAN JOSE";"68";"855"
"VELEZ";"68";"861"
"VETAS";"68";"867"
"VILLANUEVA";"68";"872"
"ZAPATOCA";"68";"895"
"SINCELEJO";"70";"001"
"BUENAVISTA";"70";"110"
"CAIMITO";"70";"124"
"COLOSO";"70";"204"
"COROZAL";"70";"215"
"CHALAN";"70";"230"
"GALERAS";"70";"235"
"GUARANDA";"70";"265"
"LA UNION";"70";"400"
"LOS PALMITOS";"70";"418"
"MAJAGUAL";"70";"429"
"MORROA";"70";"473"
"OVEJAS";"70";"508"
"PALMITO";"70";"523"
"SAMPUES";"70";"670"
"SAN BENITO ABAD";"70";"678"
"SAN JUAN DE BETULIA";"70";"702"
