"usuario";"modulo";"madre";"compania"
"USUARIOTMP";"CONTABILIDAD";"";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"CARTERA";"CONTABILIDAD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"FACTURAS";"CONTABILIDAD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"CARTERA MENSUAL";"CONTABILIDAD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"CARTERA X DOCUMENTOS X EDADES";"CONTABILIDAD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"DETALLE CARTERA MENSUAL";"CONTABILIDAD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"ESTADO DE CARTERA X EDADES";"CONTABILIDAD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"CUENTAS POR PAGAR";"CONTABILIDAD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"C X P";"CONTABILIDAD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"C X P POR EDADES";"CONTABILIDAD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"C X P POR DOCUMENTOS";"CONTABILIDAD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"PLAN DE CUENTAS";"CONTABILIDAD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"GESTIÓN DE TERCEROS";"CONTABILIDAD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"REGISTRO DE MOVIMIENTO";"CONTABILIDAD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"INGRESOS";"CONTABILIDAD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"EGRESOS";"CONTABILIDAD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"CONTABLES";"CONTABILIDAD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"C. X PAGAR";"CONTABILIDAD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"GENERACIÓN DE INFORMES";"CONTABILIDAD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"BALANCES";"CONTABILIDAD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"AUXILIARES";"CONTABILIDAD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"LIBROS OFICIALES";"CONTABILIDAD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"BASICOS";"CONTABILIDAD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"ADMINISTRATIVOS";"CONTABILIDAD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"ESPECIALES";"CONTABILIDAD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"CONFIGURACION";"CONTABILIDAD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"CUENTAS CONTABLES";"CONTABILIDAD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"ESTRUCTURA PLAN DE CUENTAS";"CONTABILIDAD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"CUENTAS DE CIERRE";"CONTABILIDAD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"CLASES DE PAGO";"CONTABILIDAD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"TIPOS DE PAGO";"CONTABILIDAD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"FUENTES DE FINANCIACION";"CONTABILIDAD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"ENTIDADES BANCARIAS";"CONTABILIDAD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"DESTINACION DE CUENTAS";"CONTABILIDAD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"TIPOS DE RETENCION";"CONTABILIDAD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"CODIGOS EXOGENA";"CONTABILIDAD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"BASES DE RETENCION";"CONTABILIDAD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"COMPROBANTES";"CONTABILIDAD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"CRUCE DE COMPROBANTES";"CONTABILIDAD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"CONCEPTOS DE AFECTACION";"CONTABILIDAD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"CONCEPTOS DE PAGO";"CONTABILIDAD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"ESTRUCTURA CENTROS COSTO";"CONTABILIDAD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"CENTROS DE COSTO";"CONTABILIDAD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"CONFIGURACION DE INFORMES";"CONTABILIDAD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"FORMAS DE PAGO";"CONTABILIDAD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"REGIMEN X TERCERO";"CONTABILIDAD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"TIPOS DE TERCERO";"CONTABILIDAD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"PROCESOS CONTABLES";"CONTABILIDAD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"PARTIDA INICIAL CONCILIATORIA";"CONTABILIDAD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"CREAR DOCUMENTOS LIBRES";"CONTABILIDAD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"RECAUDOS PENDIENTES";"CONTABILIDAD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"TRASLADAR SALDO X TERCERO";"CONTABILIDAD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"CIERRE FISCAL";"CONTABILIDAD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"CIERRE MENSUAL";"CONTABILIDAD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"RECLASIFICACION DIRECTA";"CONTABILIDAD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"PROGRAMAR DIFERIDOS";"CONTABILIDAD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"EJECUTAR DIFERIDOS";"CONTABILIDAD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"PREPARAR AÑO";"CONTABILIDAD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"ARCHIVO PLANO HORIZONTAL";"CONTABILIDAD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"HISTORIA CLINICA";"";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"ABRIR HISTORIA CLINICA";"HISTORIA CLINICA";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"CONSULTA EXTERNA";"HISTORIA CLINICA";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"PACIENTES EN SALA DE ESPERA";"HISTORIA CLINICA";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"VER AGENDA";"HISTORIA CLINICA";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"URGENCIAS";"HISTORIA CLINICA";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"PACIENTES SIN TRIAGE";"HISTORIA CLINICA";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"SITUACION EXTRAORDINARIA";"HISTORIA CLINICA";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"HOSPITALIZACION";"HISTORIA CLINICA";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"AGENDA INTERNA";"HISTORIA CLINICA";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"ASIGNAR CAMAS";"HISTORIA CLINICA";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"ASIGNAR INTERCONSULTA";"HISTORIA CLINICA";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"ASIGNAR MEDICO TRATANTE";"HISTORIA CLINICA";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"ASIGNAR TERAPEUTA OCUPACIONAL";"HISTORIA CLINICA";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"CENSO";"HISTORIA CLINICA";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"CENSO POR ENTIDADES";"HISTORIA CLINICA";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"CONTROL DE PERTENENCIAS";"HISTORIA CLINICA";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"ELEMENTOS";"HISTORIA CLINICA";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"CUSTODIA";"HISTORIA CLINICA";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"DIETAS/CENSO ALIMENTICIO";"HISTORIA CLINICA";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"DISPONIBILIDAD DE CAMAS";"HISTORIA CLINICA";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"EJECUTAR ACT ASISITENCIALES";"HISTORIA CLINICA";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"INGRESO";"HISTORIA CLINICA";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"ORDENES SIN REVISAR";"HISTORIA CLINICA";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"REGISTRO DE MEDICAMENTOS";"HISTORIA CLINICA";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"ORDENES SIN REVISAR FARMACIA";"HISTORIA CLINICA";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"EGRESO";"HISTORIA CLINICA";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"CONSULTA CUPS";"HISTORIA CLINICA";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"BUSQUEDA ALEATORIA";"HISTORIA CLINICA";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"PACIENTE SEGURO";"HISTORIA CLINICA";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"REPORTE DE SUCESOS";"HISTORIA CLINICA";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"APROBACION DE SUCESOS";"HISTORIA CLINICA";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"ACCIONES PROPUESTAS";"HISTORIA CLINICA";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"SEGUIMIENTO DE CASO";"HISTORIA CLINICA";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"CERRAR CASOS";"HISTORIA CLINICA";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"VER CASOS CERRADOS";"HISTORIA CLINICA";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"ENFERMERIA FORMATOS";"HISTORIA CLINICA";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"NOTAS CAMBIO DE TURNO";"HISTORIA CLINICA";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"NOTAS CAMBIO DE JEFE";"HISTORIA CLINICA";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"CAMBIOS TURNO";"HISTORIA CLINICA";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"NOTAS CAMBIO MEDICO";"HISTORIA CLINICA";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"IMPRESION MASIVA HC";"HISTORIA CLINICA";"CLINICA SAN JUAN DE DIOS"
