usuario;modulo;madre;compania
USUARIOTMP;HISTORIA CLINICA;';CLINICA SAN JUAN DE DIOS
USUARIOTMP;ABRIR HISTORIA CLINICA;HISTORIA CLINICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;HOSPITALIZACION;HISTORIA CLINICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;ASIGNAR CAMAS;HISTORIA CLINICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;CONTROL DE PERTENENCIAS;HISTORIA CLINICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;ELEMENTOS;HISTORIA CLINICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;CUSTODIA;HISTORIA CLINICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;DIETAS/CENSO ALIMENTICIO;HISTORIA CLINICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;DISPONIBILIDAD DE CAMAS;HISTORIA CLINICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;EJECUTAR ACT ASISITENCIALES;HISTORIA CLINICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;INGRESO;HISTORIA CLINICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;REGISTRO DE MEDICAMENTOS;HISTORIA CLINICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;EGRESO;HISTORIA CLINICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;CONSULTA CUPS;HISTORIA CLINICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;PACIENTE SEGURO;HISTORIA CLINICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;REPORTE DE SUCESOS;HISTORIA CLINICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;ENFERMERIA FORMATOS;HISTORIA CLINICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;NOTAS CAMBIO DE TURNO;HISTORIA CLINICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;INDICADORES HISTORIA CLINICA;ESTADISTICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;CORREO INTERNO;';CLINICA SAN JUAN DE DIOS
USUARIOTMP;BANDEJA DE ENTRADA;CORREO INTERNO;CLINICA SAN JUAN DE DIOS
USUARIOTMP;GESTION DE CALIDAD;';CLINICA SAN JUAN DE DIOS
USUARIOTMP;MAPA DE PROCESOS;GESTION DE CALIDAD;CLINICA SAN JUAN DE DIOS
