usuario;modulo;madre;compania
USUARIOTMP;HISTORIA CLINICA;';CLINICA SAN JUAN DE DIOS
USUARIOTMP;ABRIR HISTORIA CLINICA;HISTORIA CLINICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;PACIENTE SEGURO;HISTORIA CLINICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;REPORTE DE SUCESOS;HISTORIA CLINICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;ALMACEN;';CLINICA SAN JUAN DE DIOS
USUARIOTMP;CONSUMO;ALMACEN;CLINICA SAN JUAN DE DIOS
USUARIOTMP;FICHA PRODUCTO;ALMACEN;CLINICA SAN JUAN DE DIOS
USUARIOTMP;FICHA PROVEEDOR;ALMACEN;CLINICA SAN JUAN DE DIOS
USUARIOTMP;SOLICITUD DE CONSUMO;ALMACEN;CLINICA SAN JUAN DE DIOS
USUARIOTMP;REGISTRO DE MOVIMIENTO;ALMACEN;CLINICA SAN JUAN DE DIOS
USUARIOTMP;ORDEN DE COMPRA;ALMACEN;CLINICA SAN JUAN DE DIOS
USUARIOTMP;ENTRADAS;ALMACEN;CLINICA SAN JUAN DE DIOS
USUARIOTMP;REMISIONES;ALMACEN;CLINICA SAN JUAN DE DIOS
USUARIOTMP;SALIDAS;ALMACEN;CLINICA SAN JUAN DE DIOS
USUARIOTMP;AJUSTES;ALMACEN;CLINICA SAN JUAN DE DIOS
USUARIOTMP;TRASLADOS;ALMACEN;CLINICA SAN JUAN DE DIOS
USUARIOTMP;DEVOLUCIONES;ALMACEN;CLINICA SAN JUAN DE DIOS
USUARIOTMP;SALIDAS X PLANTILLA;ALMACEN;CLINICA SAN JUAN DE DIOS
USUARIOTMP;DESPACHOS NO PROGRAMADOS;ALMACEN;CLINICA SAN JUAN DE DIOS
USUARIOTMP;INFORMES;ALMACEN;CLINICA SAN JUAN DE DIOS
USUARIOTMP;EXISTENCIAS;ALMACEN;CLINICA SAN JUAN DE DIOS
USUARIOTMP;COMPARATIVOS;ALMACEN;CLINICA SAN JUAN DE DIOS
USUARIOTMP;INDICADORES;ALMACEN;CLINICA SAN JUAN DE DIOS
USUARIOTMP;ESPECIALES;ALMACEN;CLINICA SAN JUAN DE DIOS
USUARIOTMP;FARMACIA;ALMACEN;CLINICA SAN JUAN DE DIOS
USUARIOTMP;ALMACENES FARMACEUTICOS;CONTRATACION EN SALUD;CLINICA SAN JUAN DE DIOS
USUARIOTMP;CORREO INTERNO;';CLINICA SAN JUAN DE DIOS
USUARIOTMP;BANDEJA DE ENTRADA;CORREO INTERNO;CLINICA SAN JUAN DE DIOS
USUARIOTMP;GESTION DE CALIDAD;';CLINICA SAN JUAN DE DIOS
USUARIOTMP;MAPA DE PROCESOS;GESTION DE CALIDAD;CLINICA SAN JUAN DE DIOS
