"usuario";"modulo";"madre";"compania"
"USUARIOTMP";"CONTABILIDAD";"";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"CARTERA";"CONTABILIDAD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"FACTURAS";"CONTABILIDAD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"CARTERA MENSUAL";"CONTABILIDAD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"CARTERA X DOCUMENTOS X EDADES";"CONTABILIDAD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"DETALLE CARTERA MENSUAL";"CONTABILIDAD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"ESTADO DE CARTERA X EDADES";"CONTABILIDAD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"CARTERA Y GLOSAS";"";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"RADICACION";"CARTERA Y GLOSAS";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"RECEPCION DE GLOSAS";"CARTERA Y GLOSAS";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"RESPUESTA GLOSA";"CARTERA Y GLOSAS";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"RADICACION DE RESPUESTA";"CARTERA Y GLOSAS";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"RECEPCION DE RESPUESTA";"CARTERA Y GLOSAS";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"CONCILIACION";"CARTERA Y GLOSAS";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"INFORME";"CARTERA Y GLOSAS";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"DEVOLUCION";"CARTERA Y GLOSAS";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"CONFIGURACION";"CARTERA Y GLOSAS";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"CLASE DE GLOSAS";"CARTERA Y GLOSAS";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"CODIGO  GLOSA";"CARTERA Y GLOSAS";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"USUARIOS";"CARTERA Y GLOSAS";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"CODIGO RTTA GLOSAS";"CARTERA Y GLOSAS";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"CORREO INTERNO";"";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"BANDEJA DE ENTRADA";"CORREO INTERNO";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"GESTION DE CALIDAD";"";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"MAPA DE PROCESOS";"GESTION DE CALIDAD";"CLINICA SAN JUAN DE DIOS"
