"usuario";"modulo";"madre";"compania"
"USUARIOTMP";"CONTABILIDAD";"";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"PLAN DE CUENTAS";"CONTABILIDAD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"GESTIÓN DE TERCEROS";"CONTABILIDAD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"REGISTRO DE MOVIMIENTO";"CONTABILIDAD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"INGRESOS";"CONTABILIDAD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"EGRESOS";"CONTABILIDAD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"FACTURAS";"CONTABILIDAD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"CONTABLES";"CONTABILIDAD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"C. X PAGAR";"CONTABILIDAD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"GENERACIÓN DE INFORMES";"CONTABILIDAD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"BALANCES";"CONTABILIDAD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"AUXILIARES";"CONTABILIDAD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"LIBROS OFICIALES";"CONTABILIDAD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"BASICOS";"CONTABILIDAD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"ADMINISTRATIVOS";"CONTABILIDAD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"ESPECIALES";"CONTABILIDAD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"CONFIGURACION";"CONTABILIDAD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"CUENTAS CONTABLES";"CONTABILIDAD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"ESTRUCTURA PLAN DE CUENTAS";"CONTABILIDAD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"CUENTAS DE CIERRE";"CONTABILIDAD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"CLASES DE PAGO";"CONTABILIDAD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"TIPOS DE PAGO";"CONTABILIDAD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"FUENTES DE FINANCIACION";"CONTABILIDAD";"CLINICA SAN JUAN DE DIOS"
