"usuario";"modulo";"madre";"compania"
"USUARIOTMP";"ALMACEN";"";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"CONSUMO";"ALMACEN";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"SOLICITUD DE CONSUMO";"ALMACEN";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"CONTRATACION EN SALUD";"";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"PLANES TARIFARIOS";"CONTRATACION EN SALUD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"CUPS";"CONTRATACION EN SALUD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"PLAN DE SERVICIOS";"CONTRATACION EN SALUD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"CONFIGURACIONES";"CONTRATACION EN SALUD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"PROCESOS";"CONTRATACION EN SALUD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"USUARIOS X CARGOS";"CONTRATACION EN SALUD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"ESPECIALIDADES";"CONTRATACION EN SALUD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"NIVELES DE USUARIOS";"CONTRATACION EN SALUD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"GRUPOS DE SERVICIO";"CONTRATACION EN SALUD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"TRIAGE";"CONTRATACION EN SALUD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"UNIDADES DE ESTANCIA";"CONTRATACION EN SALUD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"EDAD MINIMA";"CONTRATACION EN SALUD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"ALMACENES FARMACEUTICOS";"CONTRATACION EN SALUD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"TIPOS POLIZA";"CONTRATACION EN SALUD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"CARGOS";"CONTRATACION EN SALUD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"PRODUCTO X FORMULACION";"CONTRATACION EN SALUD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"ORIGEN CANCELACION";"CONTRATACION EN SALUD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"MOTIVO CANCELACION";"CONTRATACION EN SALUD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"TIEMPOS ACTIVACION CITA";"CONTRATACION EN SALUD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"TIPOS DIAGNOSTICO";"CONTRATACION EN SALUD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"INTERCONSULTAS";"CONTRATACION EN SALUD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"DIETAS";"CONTRATACION EN SALUD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"NOTAS";"CONTRATACION EN SALUD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"ORDENES MEDICAS";"CONTRATACION EN SALUD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"MOTIVOS SALIDA";"CONTRATACION EN SALUD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"PREGUNTAS EGRESO";"CONTRATACION EN SALUD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"PREGUNTAS INGRESO";"CONTRATACION EN SALUD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"RUTA IMAGENES";"CONTRATACION EN SALUD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"RUTA ANEXOS";"CONTRATACION EN SALUD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"BLOQUEO X DIA";"CONTRATACION EN SALUD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"APROBACION PLAN TARIFARIO";"CONTRATACION EN SALUD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"PIE DE PAGINA FACTURAS";"CONTRATACION EN SALUD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"GRUPOS ETAREOS CENSO";"CONTRATACION EN SALUD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"AFECTACION CONTABLE";"CONTRATACION EN SALUD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"CLINICAS";"CONTRATACION EN SALUD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"INTERVALO AGENDA";"CONTRATACION EN SALUD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"TIPOS FACTURAS";"CONTRATACION EN SALUD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"GRUPOS QUIRURGICOS";"CONTRATACION EN SALUD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"COMEDOR";"CONTRATACION EN SALUD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"CONSISTENCIAS DIETA";"CONTRATACION EN SALUD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"RAZAS";"CONTRATACION EN SALUD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"OCUPACIONES";"CONTRATACION EN SALUD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"NIVEL DE ESCOLARIDAD";"CONTRATACION EN SALUD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"CONTRATOS";"CONTRATACION EN SALUD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"ASEGURADORAS";"CONTRATACION EN SALUD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"CONSULTA EXTERNA";"CONTRATACION EN SALUD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"PAQUETES";"CONTRATACION EN SALUD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"TOPES COPAGO";"CONTRATACION EN SALUD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"VALOR MULTA";"CONTRATACION EN SALUD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"DIAS EJECUTADOS CONTRATOS";"CONTRATACION EN SALUD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"CORREO INTERNO";"";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"BANDEJA DE ENTRADA";"CORREO INTERNO";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"GESTION DE CALIDAD";"";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"MAPA DE PROCESOS";"GESTION DE CALIDAD";"CLINICA SAN JUAN DE DIOS"
