usuario;modulo;madre;compania
USUARIOTMP;ACTUALIZACIÓN TARIFAS;ALMACEN;CLINICA SAN JUAN DE DIOS
USUARIOTMP;AJUSTES;ALMACEN;CLINICA SAN JUAN DE DIOS
USUARIOTMP;ALMACEN;';CLINICA SAN JUAN DE DIOS
USUARIOTMP;ALMACENES;ALMACEN;CLINICA SAN JUAN DE DIOS
USUARIOTMP;ALMACENES FARMACEUTICOS;ALMACEN;CLINICA SAN JUAN DE DIOS
USUARIOTMP;APERTURA NUEVAS HISTORIAS CLINICAS;ESTADISTICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;APROBAR ORDEN DE COMPRA;ALMACEN;CLINICA SAN JUAN DE DIOS
USUARIOTMP;APROBAR SOLICITUD DE CONSUMO;ALMACEN;CLINICA SAN JUAN DE DIOS
USUARIOTMP;BANDEJA DE ENTRADA;CORREO INTERNO;CLINICA SAN JUAN DE DIOS
USUARIOTMP;BODEGAS;ALMACEN;CLINICA SAN JUAN DE DIOS
USUARIOTMP;CIERRE FISCAL;ALMACEN;CLINICA SAN JUAN DE DIOS
USUARIOTMP;CIERRE POR PERIODOS;ALMACEN;CLINICA SAN JUAN DE DIOS
USUARIOTMP;CLASIFICACION PRODUCTOS;ALMACEN;CLINICA SAN JUAN DE DIOS
USUARIOTMP;COMPARATIVOS;ALMACEN;CLINICA SAN JUAN DE DIOS
USUARIOTMP;COMPROBANTES;ALMACEN;CLINICA SAN JUAN DE DIOS
USUARIOTMP;CONFIGURACION;ALMACEN;CLINICA SAN JUAN DE DIOS
USUARIOTMP;CONSOLIDADO HISTORICOS;ESTADISTICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;CONSOLIDADOS  FACTURACION;ESTADISTICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;CONSULTA EXTERNA;ESTADISTICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;CONSUMO;ALMACEN;CLINICA SAN JUAN DE DIOS
USUARIOTMP;CONTABILIZAR SALIDAS;ALMACEN;CLINICA SAN JUAN DE DIOS
USUARIOTMP;CONTRATOS;ALMACEN;CLINICA SAN JUAN DE DIOS
USUARIOTMP;CONTROL ORDENADOS Y DESPACHADOS;ESTADISTICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;CORREO INTERNO;';CLINICA SAN JUAN DE DIOS
USUARIOTMP;CUENTAS X AJUSTES;ALMACEN;CLINICA SAN JUAN DE DIOS
USUARIOTMP;CUENTAS X CENTRO DE COSTOS;ALMACEN;CLINICA SAN JUAN DE DIOS
USUARIOTMP;DIAS DE ESTANCIA POR PACIENTES;ESTADISTICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;EGRESO DE PACIENTES;ESTADISTICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;ENTRADAS;ALMACEN;CLINICA SAN JUAN DE DIOS
USUARIOTMP;ESPECIALES;ALMACEN;CLINICA SAN JUAN DE DIOS
USUARIOTMP;ESTADISTICA;';CLINICA SAN JUAN DE DIOS
USUARIOTMP;EXISTENCIAS;ALMACEN;CLINICA SAN JUAN DE DIOS
USUARIOTMP;FARMACIA;ALMACEN;CLINICA SAN JUAN DE DIOS
USUARIOTMP;GESTION DE CALIDAD;';CLINICA SAN JUAN DE DIOS
USUARIOTMP;GRUPOS DE PRODUCTO;ALMACEN;CLINICA SAN JUAN DE DIOS
USUARIOTMP;HOSPITALARIOS;ESTADISTICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;INDICADORES;ALMACEN;CLINICA SAN JUAN DE DIOS
USUARIOTMP;INDICADORES;ESTADISTICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;INDICADORES ATENCION AMBULATORIA;ESTADISTICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;INDICADORES DINAMICOS HC;ESTADISTICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;INDICADORES HISTORIA CLINICA;ESTADISTICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;INFORMACION DE LOTES;ESTADISTICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;INFORME FRACCIONADOS;ESTADISTICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;INFORMES;ALMACEN;CLINICA SAN JUAN DE DIOS
USUARIOTMP;INFORMES;ESTADISTICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;INFORMES HISTORIA CLINICA;ESTADISTICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;INGRESO DE PACIENTES;ESTADISTICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;LABORATORIOS;ALMACEN;CLINICA SAN JUAN DE DIOS
USUARIOTMP;LISTADO DISPOSITIVOS MEDICOS;ESTADISTICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;LISTADO MEDICAMENTOS;ESTADISTICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;MAPA DE PROCESOS;GESTION DE CALIDAD;CLINICA SAN JUAN DE DIOS
USUARIOTMP;MEDICAMENTOS;ESTADISTICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;MEDICAMENTOS NO POS;ESTADISTICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;MENSAJES DE ACTAS;ALMACEN;CLINICA SAN JUAN DE DIOS
USUARIOTMP;MORBILIDAD X FORMATOS;ESTADISTICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;MORTALIDAD;ESTADISTICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;MOVIMIENTOS DE FARMACIA;ESTADISTICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;ORDEN DE COMPRA;ALMACEN;CLINICA SAN JUAN DE DIOS
USUARIOTMP;PACIENTES X PERIODOS;ESTADISTICA;CLINICA SAN JUAN DE DIOS
