usuario;modulo;madre;compania
USUARIOTMP;HISTORIA CLINICA;';CLINICA SAN JUAN DE DIOS
USUARIOTMP;ABRIR HISTORIA CLINICA;HISTORIA CLINICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;CONSULTA EXTERNA;HISTORIA CLINICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;PACIENTES EN SALA DE ESPERA;HISTORIA CLINICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;VER AGENDA;HISTORIA CLINICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;URGENCIAS;HISTORIA CLINICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;PACIENTES SIN TRIAGE;HISTORIA CLINICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;SITUACION EXTRAORDINARIA;HISTORIA CLINICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;HOSPITALIZACION;HISTORIA CLINICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;AGENDA INTERNA;HISTORIA CLINICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;ASIGNAR CAMAS;HISTORIA CLINICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;ASIGNAR INTERCONSULTA;HISTORIA CLINICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;ASIGNAR MEDICO TRATANTE;HISTORIA CLINICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;ASIGNAR TERAPEUTA OCUPACIONAL;HISTORIA CLINICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;REGISTRO DE MEDICAMENTOS;HISTORIA CLINICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;PACIENTE SEGURO;HISTORIA CLINICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;REPORTE DE SUCESOS;HISTORIA CLINICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;APROBACION DE SUCESOS;HISTORIA CLINICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;ACCIONES PROPUESTAS;HISTORIA CLINICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;SEGUIMIENTO DE CASO;HISTORIA CLINICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;CERRAR CASOS;HISTORIA CLINICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;VER CASOS CERRADOS;HISTORIA CLINICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;CAMBIOS TURNO;HISTORIA CLINICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;NOTAS CAMBIO MEDICO;HISTORIA CLINICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;IMPRESION MASIVA HC;HISTORIA CLINICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;IMPRESION X FORMATO;HISTORIA CLINICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;IMPRESION X PACIENTE;HISTORIA CLINICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;ADMINISTRACION;HISTORIA CLINICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;ADMINISTRACION DE FORMATOS;HISTORIA CLINICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;FICHA ID;HISTORIA CLINICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;CIE10;HISTORIA CLINICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;CAMBIO DE DODUMENTO ID;HISTORIA CLINICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;INTERPRETACION LABORATORIO;HISTORIA CLINICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;LABORATORIOS EXTERNOS;HISTORIA CLINICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;UNIFICACION HC;HISTORIA CLINICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;USUARIOS X HC;HISTORIA CLINICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;USUARIOS X ORDENES MEDICAS;HISTORIA CLINICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;ADMIN AGENDA INTERNA;HISTORIA CLINICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;ACTVIDADES ASISTENCIALES;HISTORIA CLINICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;FORMATOS EGRESO X AMBITO;HISTORIA CLINICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;XML;HISTORIA CLINICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;CONFIGURACION PACIENTE SEGURO;HISTORIA CLINICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;APROBADOR;HISTORIA CLINICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;COMITE;HISTORIA CLINICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;COORDINADORES;HISTORIA CLINICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;ALMACEN;';CLINICA SAN JUAN DE DIOS
