usuario;modulo;madre;compania
USUARIOTMP;ESTADISTICA;';CLINICA SAN JUAN DE DIOS
USUARIOTMP;INFORMES;ESTADISTICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;APERTURA NUEVAS HISTORIAS CLINICAS;ESTADISTICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;CONSOLIDADO HISTORICOS;ESTADISTICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;CONSOLIDADOS  FACTURACION;ESTADISTICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;CONSULTA EXTERNA;ESTADISTICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;CONTROL ORDENADOS Y DESPACHADOS;ESTADISTICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;DIAS DE ESTANCIA POR PACIENTES;ESTADISTICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;EGRESO DE PACIENTES;ESTADISTICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;HOSPITALARIOS;ESTADISTICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;INDICADORES DINAMICOS HC;ESTADISTICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;INDICADORES HISTORIA CLINICA;ESTADISTICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;INFORMACION DE LOTES;ESTADISTICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;INFORME FRACCIONADOS;ESTADISTICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;INFORMES HISTORIA CLINICA;ESTADISTICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;INGRESO DE PACIENTES;ESTADISTICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;LISTADO DISPOSITIVOS MEDICOS;ESTADISTICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;LISTADO MEDICAMENTOS;ESTADISTICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;MEDICAMENTOS;ESTADISTICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;MEDICAMENTOS NO POS;ESTADISTICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;MORBILIDAD X FORMATOS;ESTADISTICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;MORTALIDAD;ESTADISTICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;MOVIMIENTOS DE FARMACIA;ESTADISTICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;PERFIL SEGUIMIENTO FARMACOTERAPÉUTICO;ESTADISTICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;POLIFARMACIA DETALLADO;ESTADISTICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;POLIFARMACIA RESUMIDO;ESTADISTICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;TRASLADOS DE UNIDADES;ESTADISTICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;REGISTRO DE MEDICAMENTOS;ESTADISTICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;PACIENTES X PERIODOS;ESTADISTICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;INDICADORES;ESTADISTICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;INDICADORES ATENCION AMBULATORIA;ESTADISTICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;CORREO INTERNO;';CLINICA SAN JUAN DE DIOS
USUARIOTMP;BANDEJA DE ENTRADA;CORREO INTERNO;CLINICA SAN JUAN DE DIOS
USUARIOTMP;GESTION DE CALIDAD;';CLINICA SAN JUAN DE DIOS
USUARIOTMP;MAPA DE PROCESOS;GESTION DE CALIDAD;CLINICA SAN JUAN DE DIOS
