"usuario";"modulo";"madre";"compania"
"USUARIOTMP";"FACTURACION GENERAL";"PREDIAL";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"FACTURAR PREDIOS";"PREDIAL";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"CONSOLIDADOS  FACTURACION";"ESTADISTICA";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"FACTURACION";"";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"LIQUIDACION EN MASA";"FACTURACION";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"GESTION DE LIQUIDACIONES";"FACTURACION";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"FACTURAR";"FACTURACION";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"GESTION DE FACTURAS";"FACTURACION";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"CONSOLIDACION DE FACTURA";"FACTURACION";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"EDICION FACTURA";"FACTURACION";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"RIPS";"FACTURACION";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"TRANSFERENCIA CONTABLE";"FACTURACION";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"FURIPS";"FACTURACION";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"FURIPS PENDIENTES";"FACTURACION";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"FURIPS DILIGENCIADOS";"FACTURACION";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"ARCHIVO PLANO";"FACTURACION";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"CONFIGURACION";"FACTURACION";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"NUM INICIAL RECLAMACION";"FACTURACION";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"ACTUALIZAR NO. FACTURA";"FACTURACION";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"ACTUALIZAR LIQUIDACIONES";"FACTURACION";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"CARTERA Y GLOSAS";"";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"RADICACION";"CARTERA Y GLOSAS";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"RECEPCION DE GLOSAS";"CARTERA Y GLOSAS";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"RESPUESTA GLOSA";"CARTERA Y GLOSAS";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"RADICACION DE RESPUESTA";"CARTERA Y GLOSAS";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"RECEPCION DE RESPUESTA";"CARTERA Y GLOSAS";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"CONCILIACION";"CARTERA Y GLOSAS";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"INFORME";"CARTERA Y GLOSAS";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"DEVOLUCION";"CARTERA Y GLOSAS";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"CONFIGURACION";"CARTERA Y GLOSAS";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"CLASE DE GLOSAS";"CARTERA Y GLOSAS";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"CODIGO  GLOSA";"CARTERA Y GLOSAS";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"USUARIOS";"CARTERA Y GLOSAS";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"CODIGO RTTA GLOSAS";"CARTERA Y GLOSAS";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"CORREO INTERNO";"";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"BANDEJA DE ENTRADA";"CORREO INTERNO";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"GESTION DE CALIDAD";"";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"MAPA DE PROCESOS";"GESTION DE CALIDAD";"CLINICA SAN JUAN DE DIOS"
