"usuario";"modulo";"madre";"compania"
"USUARIOTMP";"HISTORIA CLINICA";"";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"HOSPITALIZACION";"HISTORIA CLINICA";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"DIETAS/CENSO ALIMENTICIO";"HISTORIA CLINICA";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"EJECUTAR ACT ASISITENCIALES";"HISTORIA CLINICA";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"ALMACEN";"";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"CONSUMO";"ALMACEN";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"SOLICITUD DE CONSUMO";"ALMACEN";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"ALMACENES FARMACEUTICOS";"CONTRATACION EN SALUD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"CORREO INTERNO";"";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"BANDEJA DE ENTRADA";"CORREO INTERNO";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"GESTION DE CALIDAD";"";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"MAPA DE PROCESOS";"GESTION DE CALIDAD";"CLINICA SAN JUAN DE DIOS"
