usuario;modulo;madre;compania
USUARIOTMP;HISTORIA CLINICA;';CLINICA SAN JUAN DE DIOS
USUARIOTMP;ABRIR HISTORIA CLINICA;HISTORIA CLINICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;ALMACEN;';CLINICA SAN JUAN DE DIOS
USUARIOTMP;CONSUMO;ALMACEN;CLINICA SAN JUAN DE DIOS
USUARIOTMP;FICHA PRODUCTO;ALMACEN;CLINICA SAN JUAN DE DIOS
USUARIOTMP;FICHA PROVEEDOR;ALMACEN;CLINICA SAN JUAN DE DIOS
USUARIOTMP;SOLICITUD DE CONSUMO;ALMACEN;CLINICA SAN JUAN DE DIOS
USUARIOTMP;ACTUALIZACIÓN TARIFAS;ALMACEN;CLINICA SAN JUAN DE DIOS
USUARIOTMP;REGISTRO DE MOVIMIENTO;ALMACEN;CLINICA SAN JUAN DE DIOS
USUARIOTMP;ORDEN DE COMPRA;ALMACEN;CLINICA SAN JUAN DE DIOS
USUARIOTMP;ENTRADAS;ALMACEN;CLINICA SAN JUAN DE DIOS
USUARIOTMP;REMISIONES;ALMACEN;CLINICA SAN JUAN DE DIOS
USUARIOTMP;SALIDAS;ALMACEN;CLINICA SAN JUAN DE DIOS
USUARIOTMP;AJUSTES;ALMACEN;CLINICA SAN JUAN DE DIOS
USUARIOTMP;TRASLADOS;ALMACEN;CLINICA SAN JUAN DE DIOS
USUARIOTMP;DEVOLUCIONES;ALMACEN;CLINICA SAN JUAN DE DIOS
USUARIOTMP;SALIDAS X PLANTILLA;ALMACEN;CLINICA SAN JUAN DE DIOS
USUARIOTMP;DESPACHOS NO PROGRAMADOS;ALMACEN;CLINICA SAN JUAN DE DIOS
USUARIOTMP;PLAN ANUAL DE COMPRAS;ALMACEN;CLINICA SAN JUAN DE DIOS
USUARIOTMP;INFORMES;ALMACEN;CLINICA SAN JUAN DE DIOS
USUARIOTMP;EXISTENCIAS;ALMACEN;CLINICA SAN JUAN DE DIOS
USUARIOTMP;COMPARATIVOS;ALMACEN;CLINICA SAN JUAN DE DIOS
USUARIOTMP;INDICADORES;ALMACEN;CLINICA SAN JUAN DE DIOS
USUARIOTMP;ESPECIALES;ALMACEN;CLINICA SAN JUAN DE DIOS
USUARIOTMP;FARMACIA;ALMACEN;CLINICA SAN JUAN DE DIOS
USUARIOTMP;CONFIGURACION;ALMACEN;CLINICA SAN JUAN DE DIOS
USUARIOTMP;ALMACENES;ALMACEN;CLINICA SAN JUAN DE DIOS
USUARIOTMP;BODEGAS;ALMACEN;CLINICA SAN JUAN DE DIOS
USUARIOTMP;COMPROBANTES;ALMACEN;CLINICA SAN JUAN DE DIOS
USUARIOTMP;GRUPOS DE PRODUCTO;ALMACEN;CLINICA SAN JUAN DE DIOS
USUARIOTMP;PRESENTACIONES;ALMACEN;CLINICA SAN JUAN DE DIOS
USUARIOTMP;TIPOS DE PRODUCTO;ALMACEN;CLINICA SAN JUAN DE DIOS
USUARIOTMP;TARIFARIOS;ALMACEN;CLINICA SAN JUAN DE DIOS
USUARIOTMP;UNIDADES DE MEDIDA;ALMACEN;CLINICA SAN JUAN DE DIOS
USUARIOTMP;USUARIOS X ALMACEN;ALMACEN;CLINICA SAN JUAN DE DIOS
USUARIOTMP;USUARIOS XA SOLICITUD;ALMACEN;CLINICA SAN JUAN DE DIOS
USUARIOTMP;CUENTAS X CENTRO DE COSTOS;ALMACEN;CLINICA SAN JUAN DE DIOS
USUARIOTMP;ALMACENES FARMACEUTICOS;ALMACEN;CLINICA SAN JUAN DE DIOS
USUARIOTMP;MENSAJES DE ACTAS;ALMACEN;CLINICA SAN JUAN DE DIOS
USUARIOTMP;USUARIOS X CENTROS;ALMACEN;CLINICA SAN JUAN DE DIOS
USUARIOTMP;CUENTAS X AJUSTES;ALMACEN;CLINICA SAN JUAN DE DIOS
USUARIOTMP;CLASIFICACION PRODUCTOS;ALMACEN;CLINICA SAN JUAN DE DIOS
USUARIOTMP;RIESGOS;ALMACEN;CLINICA SAN JUAN DE DIOS
USUARIOTMP;LABORATORIOS;ALMACEN;CLINICA SAN JUAN DE DIOS
USUARIOTMP;PRESENTACIONES LABORATORIOS;ALMACEN;CLINICA SAN JUAN DE DIOS
USUARIOTMP;APROBAR SOLICITUD DE CONSUMO;ALMACEN;CLINICA SAN JUAN DE DIOS
USUARIOTMP;APROBAR ORDEN DE COMPRA;ALMACEN;CLINICA SAN JUAN DE DIOS
USUARIOTMP;CONTRATOS;ALMACEN;CLINICA SAN JUAN DE DIOS
USUARIOTMP;VER SOLICITUDES DE CONSUMO;ALMACEN;CLINICA SAN JUAN DE DIOS
USUARIOTMP;INFRAESTRUCTURA;ALMACEN;CLINICA SAN JUAN DE DIOS
USUARIOTMP;BUSQUEDA;ALMACEN;CLINICA SAN JUAN DE DIOS
USUARIOTMP;MOVIMIENTO;ALMACEN;CLINICA SAN JUAN DE DIOS
