"usuario";"modulo";"madre";"compania"
"USUARIOTMP";"CONTABILIDAD";"";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"GENERACIÓN DE INFORMES";"CONTABILIDAD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"BALANCES";"CONTABILIDAD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"AUXILIARES";"CONTABILIDAD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"LIBROS OFICIALES";"CONTABILIDAD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"BASICOS";"CONTABILIDAD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"ADMINISTRATIVOS";"CONTABILIDAD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"ESPECIALES";"CONTABILIDAD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"ALMACEN";"";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"CONSUMO";"ALMACEN";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"SOLICITUD DE CONSUMO";"ALMACEN";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"ALMACENES FARMACEUTICOS";"CONTRATACION EN SALUD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"CORREO INTERNO";"";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"BANDEJA DE ENTRADA";"CORREO INTERNO";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"GESTION DE CALIDAD";"";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"MAPA DE PROCESOS";"GESTION DE CALIDAD";"CLINICA SAN JUAN DE DIOS"
