usuario;modulo;madre;compania
USUARIOTMP;ABRIR HISTORIA CLINICA;HISTORIA CLINICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;CAMBIOS TURNO;HISTORIA CLINICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;CONSULTA EXTERNA;HISTORIA CLINICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;HISTORIA CLINICA;';CLINICA SAN JUAN DE DIOS
USUARIOTMP;HOSPITALIZACION;HISTORIA CLINICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;INDICADORES HISTORIA CLINICA;ESTADISTICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;INFORMES HISTORIA CLINICA;ESTADISTICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;INTERPRETAR LABORATORIOS;HISTORIA CLINICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;NOTAS CAMBIO MEDICO;HISTORIA CLINICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;ORDENES SIN REVISAR;HISTORIA CLINICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;PACIENTES EN SALA DE ESPERA;HISTORIA CLINICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;PACIENTES SIN TRIAGE;HISTORIA CLINICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;REGISTRO DE MEDICAMENTOS;HISTORIA CLINICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;URGENCIAS;HISTORIA CLINICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;VER AGENDA;HISTORIA CLINICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;CORREO INTERNO;';CLINICA SAN JUAN DE DIOS
USUARIOTMP;BANDEJA DE ENTRADA;CORREO INTERNO;CLINICA SAN JUAN DE DIOS
USUARIOTMP;CONSUMO;ALMACEN;CLINICA SAN JUAN DE DIOS
USUARIOTMP;SOLICITUD DE CONSUMO;ALMACEN;CLINICA SAN JUAN DE DIOS
USUARIOTMP;GESTION DE CALIDAD;';CLINICA SAN JUAN DE DIOS
USUARIOTMP;MAPA DE PROCESOS;GESTION DE CALIDAD;CLINICA SAN JUAN DE DIOS
USUARIOTMP;PACIENTE SEGURO;HISTORIA CLINICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;REPORTE DE SUCESOS;HISTORIA CLINICA;CLINICA SAN JUAN DE DIOS
