usuario;modulo;madre;compania
USUARIOTMP;ABRIR HISTORIA CLINICA;HISTORIA CLINICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;ADMISION;';CLINICA SAN JUAN DE DIOS
USUARIOTMP;AGENDA INTERNA;HISTORIA CLINICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;AGENDA MEDICA;ADMISION;CLINICA SAN JUAN DE DIOS
USUARIOTMP;BLOQUEO X CUPS;ADMISION;CLINICA SAN JUAN DE DIOS
USUARIOTMP;BUSQUEDA ALEATORIA;HISTORIA CLINICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;CENSO;HISTORIA CLINICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;CENSO POR ENTIDADES;HISTORIA CLINICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;CIERRE DE CAJA;ADMISION;CLINICA SAN JUAN DE DIOS
USUARIOTMP;CITAS EXPIRADAS;ADMISION;CLINICA SAN JUAN DE DIOS
USUARIOTMP;CONSULTA DE CITAS;ADMISION;CLINICA SAN JUAN DE DIOS
USUARIOTMP;CONSULTA EXTERNA;HISTORIA CLINICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;CONTROL DE PERTENENCIAS;HISTORIA CLINICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;DISPONIBILIDAD DE CAMAS;HISTORIA CLINICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;EGRESO;HISTORIA CLINICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;HISTORIA CLINICA;';CLINICA SAN JUAN DE DIOS
USUARIOTMP;HOSPITALIZACION;HISTORIA CLINICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;IMPRESION MASIVA HC;HISTORIA CLINICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;IMPRESION X FORMATO;HISTORIA CLINICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;IMPRESION X PACIENTE;HISTORIA CLINICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;INDICADORES HISTORIA CLINICA;ESTADISTICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;INFORMES;ADMISION;CLINICA SAN JUAN DE DIOS
USUARIOTMP;INFORMES HISTORIA CLINICA;ESTADISTICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;INGRESO;HISTORIA CLINICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;MOTIVO LEVANTAMIENTO MULTA;ADMISION;CLINICA SAN JUAN DE DIOS
USUARIOTMP;MULTAS;ADMISION;CLINICA SAN JUAN DE DIOS
USUARIOTMP;ORIGEN LEVANTAMIENTO MULTA;ADMISION;CLINICA SAN JUAN DE DIOS
USUARIOTMP;PACIENTES EN SALA DE ESPERA;HISTORIA CLINICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;PACIENTES SIN TRIAGE;HISTORIA CLINICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;REGISTRO DE MEDICAMENTOS;HISTORIA CLINICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;TRASLADO AGENDA;ADMISION;CLINICA SAN JUAN DE DIOS
USUARIOTMP;URGENCIAS;HISTORIA CLINICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;VER AGENDA;HISTORIA CLINICA;CLINICA SAN JUAN DE DIOS
USUARIOTMP;VER MULTAS;ADMISION;CLINICA SAN JUAN DE DIOS
USUARIOTMP;ALMACEN;';CLINICA SAN JUAN DE DIOS
USUARIOTMP;CONSUMO;ALMACEN;CLINICA SAN JUAN DE DIOS
USUARIOTMP;SOLICITUD DE CONSUMO;ALMACEN;CLINICA SAN JUAN DE DIOS
USUARIOTMP;CORREO INTERNO;';CLINICA SAN JUAN DE DIOS
USUARIOTMP;BANDEJA DE ENTRADA;CORREO INTERNO;CLINICA SAN JUAN DE DIOS
USUARIOTMP;GESTION DE CALIDAD;';CLINICA SAN JUAN DE DIOS
USUARIOTMP;MAPA DE PROCESOS;GESTION DE CALIDAD;CLINICA SAN JUAN DE DIOS
