"usuario";"modulo";"madre";"compania"
"USUARIOTMP";"CONTABILIDAD";"";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"CARTERA";"CONTABILIDAD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"FACTURAS";"CONTABILIDAD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"CARTERA MENSUAL";"CONTABILIDAD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"CARTERA X DOCUMENTOS X EDADES";"CONTABILIDAD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"DETALLE CARTERA MENSUAL";"CONTABILIDAD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"ESTADO DE CARTERA X EDADES";"CONTABILIDAD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"CUENTAS POR PAGAR";"CONTABILIDAD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"C X P";"CONTABILIDAD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"C X P POR EDADES";"CONTABILIDAD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"C X P POR DOCUMENTOS";"CONTABILIDAD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"GENERACIÓN DE INFORMES";"CONTABILIDAD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"BALANCES";"CONTABILIDAD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"AUXILIARES";"CONTABILIDAD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"LIBROS OFICIALES";"CONTABILIDAD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"BASICOS";"CONTABILIDAD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"ADMINISTRATIVOS";"CONTABILIDAD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"ESPECIALES";"CONTABILIDAD";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"CORREO INTERNO";"";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"BANDEJA DE ENTRADA";"CORREO INTERNO";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"GESTION DE CALIDAD";"";"CLINICA SAN JUAN DE DIOS"
"USUARIOTMP";"MAPA DE PROCESOS";"GESTION DE CALIDAD";"CLINICA SAN JUAN DE DIOS"
