Compania;Presentacion
CLINICA SAN JUAN DE DIOS;25 SOBRES X 2,2 GRAMOS
CLINICA SAN JUAN DE DIOS;3 BARRAS X 10 TABLETAS
CLINICA SAN JUAN DE DIOS;4 X 5 YARDAS 
CLINICA SAN JUAN DE DIOS;40 G a 80 ML
CLINICA SAN JUAN DE DIOS;48 SOBRES X 10 ML
CLINICA SAN JUAN DE DIOS;6 BARRAS X 10 TABLETAS
CLINICA SAN JUAN DE DIOS;AMPOLLA
CLINICA SAN JUAN DE DIOS;AMPOLLA X 1 ML
CLINICA SAN JUAN DE DIOS;AMPOLLA X 10 ML
CLINICA SAN JUAN DE DIOS;AMPOLLA X 18 ML
CLINICA SAN JUAN DE DIOS;AMPOLLA X 2 ML
CLINICA SAN JUAN DE DIOS;AMPOLLA X 3 ML
CLINICA SAN JUAN DE DIOS;AMPOLLA X 5 ML
CLINICA SAN JUAN DE DIOS;AMPOLLETA X 5 ML
CLINICA SAN JUAN DE DIOS;BARRA X 10 TABLETAS
CLINICA SAN JUAN DE DIOS;BIO SET
CLINICA SAN JUAN DE DIOS;BLISTER X 1
CLINICA SAN JUAN DE DIOS;BLISTER X 10
CLINICA SAN JUAN DE DIOS;BLISTER X 14 CAPSULAS
CLINICA SAN JUAN DE DIOS;BLISTER X 2 CAPSULAS
CLINICA SAN JUAN DE DIOS;BLISTER X 2 TABLETAS
CLINICA SAN JUAN DE DIOS;BLISTER X 20
CLINICA SAN JUAN DE DIOS;BLISTER X 25 TABLETAS
CLINICA SAN JUAN DE DIOS;BLISTER X 28 CAPSULAS
CLINICA SAN JUAN DE DIOS;BLISTER X 3
CLINICA SAN JUAN DE DIOS;BLISTER X 48 CAPSULAS
CLINICA SAN JUAN DE DIOS;BLISTER X 5
CLINICA SAN JUAN DE DIOS;BLISTER X 6
CLINICA SAN JUAN DE DIOS;BLISTER X 7 CAPSULAS
CLINICA SAN JUAN DE DIOS;BLISTER X 8
CLINICA SAN JUAN DE DIOS;BOLSA X 10
CLINICA SAN JUAN DE DIOS;BOLSA X 100 ML
CLINICA SAN JUAN DE DIOS;BOLSA X 1000ML
CLINICA SAN JUAN DE DIOS;BOLSA X 133 ML
CLINICA SAN JUAN DE DIOS;BOLSA X 24
CLINICA SAN JUAN DE DIOS;BOLSA X 250 ML
CLINICA SAN JUAN DE DIOS;BOLSA X 36
CLINICA SAN JUAN DE DIOS;BOLSA X 500 ML
CLINICA SAN JUAN DE DIOS;BOLSA X 70 ML
CLINICA SAN JUAN DE DIOS;CAJA
CLINICA SAN JUAN DE DIOS;CAJA X 1
CLINICA SAN JUAN DE DIOS;CAJA X 1 AMPOLLA
CLINICA SAN JUAN DE DIOS;CAJA X 1 AMPOLLA DE VIDRIO COLOR AMBAR TIPO I X 1ML.
CLINICA SAN JUAN DE DIOS;CAJA X 1 AMPOLLA X 1 ML
CLINICA SAN JUAN DE DIOS;CAJA X 1 AMPOLLA X 100 ML
CLINICA SAN JUAN DE DIOS;CAJA X 1 AMPOLLA X 1ML
CLINICA SAN JUAN DE DIOS;CAJA X 1 AMPOLLETAS X 2 ML
CLINICA SAN JUAN DE DIOS;CAJA X 1 BLISTER X 12
CLINICA SAN JUAN DE DIOS;CAJA X 1 BLISTER X 7 CAPSULAS
CLINICA SAN JUAN DE DIOS;CAJA X 1 ENVASE X 200 INHALACIONES (10ML) + ADAPTADOR ORAL Y VALVULA DOSIFICADORA
CLINICA SAN JUAN DE DIOS;CAJA X 1 FRASCO AMPOLLA DE VIDRIO TIPO I X 3 GRAMOS
CLINICA SAN JUAN DE DIOS;CAJA X 1 FRASCO X 0.531 G DE POLVO
CLINICA SAN JUAN DE DIOS;CAJA X 1 FRASCO X 1 G DE POLVO
CLINICA SAN JUAN DE DIOS;CAJA X 1 JERINGA PRELLENADA 0, 5 ML DE SUSPENSION
CLINICA SAN JUAN DE DIOS;CAJA X 1 JERINGA PRELLENADAS POR 0, 8 ML C/U.
CLINICA SAN JUAN DE DIOS;CAJA X 1 JERINGA PRERELLENADA DE 0.4 ML
CLINICA SAN JUAN DE DIOS;CAJA X 10
CLINICA SAN JUAN DE DIOS;CAJA X 10 AMPOLLAS
CLINICA SAN JUAN DE DIOS;CAJA X 10 AMPOLLAS X  5ML
CLINICA SAN JUAN DE DIOS;CAJA X 10 AMPOLLAS X 1 ML
CLINICA SAN JUAN DE DIOS;CAJA X 10 AMPOLLETAS X 1 ML
CLINICA SAN JUAN DE DIOS;CAJA X 10 FRASCOS X 1 G DE POLVO
CLINICA SAN JUAN DE DIOS;CAJA X 10 FRASCOS X 3.5 G DE POLVO
CLINICA SAN JUAN DE DIOS;CAJA X 10 JERINGAS PRELLENADAS POR 0, 8 ML
CLINICA SAN JUAN DE DIOS;CAJA X 100
CLINICA SAN JUAN DE DIOS;CAJA X 100 AMPOLLAS
CLINICA SAN JUAN DE DIOS;CAJA X 100 AMPOLLAS X 1ML
CLINICA SAN JUAN DE DIOS;CAJA X 100 AMPOLLETAS X 1 ML
CLINICA SAN JUAN DE DIOS;CAJA X 100 AMPOLLETAS X 2 ML
CLINICA SAN JUAN DE DIOS;CAJA X 100 FRASCOS-AMPOLLA X 2.400.000 UI
CLINICA SAN JUAN DE DIOS;CAJA X 100 FRASCOS X 1 G DE POLVO
CLINICA SAN JUAN DE DIOS;CAJA X 100 FRASCOS X 3.5 G DE POLVO
CLINICA SAN JUAN DE DIOS;CAJA X 100 TABLETAS 
CLINICA SAN JUAN DE DIOS;CAJA X 100 VIALES FRASCO-AMPOLLA
CLINICA SAN JUAN DE DIOS;CAJA X 1000
CLINICA SAN JUAN DE DIOS;CAJA X 12
CLINICA SAN JUAN DE DIOS;CAJA X 12 AMPOLLAS
CLINICA SAN JUAN DE DIOS;CAJA X 1200
CLINICA SAN JUAN DE DIOS;CAJA X 1200 AMPOLLAS DE VIDRIO X 75MG/3ML DE DICLOFENACO.
CLINICA SAN JUAN DE DIOS;CAJA X 14
CLINICA SAN JUAN DE DIOS;CAJA X 15
CLINICA SAN JUAN DE DIOS;CAJA X 15 AMPOLLAS  X  5  ML
CLINICA SAN JUAN DE DIOS;CAJA X 150
