Convencion;Detalle
AC;AVENIDA CALLE
AD;ADMINISTRACION
ADL;ADELANTE
AER;AEROPUERTO
AG;AGENCIA
AGP;AGRUPACION
AK;AVENIDA CARRERA
AL;ALTILLO
ALD;AL LADO
ALM;ALMACEN
AP;APARTAMENTO
APTDO;APARTADO
ATR;ATRAS
AUT;AUTOPISTA
AV;AVENIDA
AVIAL;ANILLO VIAL
BG;BODEGA
BL;BLOQUE
BLV;BULEVAR
BRR;BARRIO
C;CORREGIMIENTO
CA;CASA
CAS;CASERIO
CC;CENTRO COMERCIAL
CD;CIUDADELA
CEL;CELULA
CEN;CENTRO
CIR;CIRCULAR
CL;CALLE
CLJ;CALLEJON
CN;CAMINO
CON;CONJUNTO RESIDENCIAL
CONJ;CONJUNTO
CR;CARRERA
CRT;CARRETERA
CRV;CIRCUNVALAR
CS;CONSULTORIO
DG;DIAGONAL
DP;DEPOSITO
DPTO;DEPARTAMENTO
DS;DEPOSITO SOTANO
ED;EDIFICIO
EN;ENTRADA
ES;ESCALERA
ESQ;ESQUINA
ESTE;ESTE
ET;ETAPA
EX;EXTERIOR
FCA;FINCA
GJ;GARAJE
GS;GARAJE SOTANO
GT;GLORIETA
HC;HACIENDA
HG;HANGAR
IN;INTERIOR
IP;INSPECCION DE POLICIA
IPD;INSPECCION DEPARTAMENTAL
IPM;INSPECCION MUNICIPAL
KM;KILOMETRO
LC;LOCAL
LM;LOCAL MEZZANINE
LT;LOTE
MD;MODULO
MJ;MOJON
MLL;MUELLE
MN;MEZZANINE
MZ;MANZANA
NORTE;NORTE
O;ORIENTE
OCC;OCCIDENTE
OESTE;OESTE
OF;OFICINA
P;PISO
PA;PARCELA
PAR;PARQUE
PD;PREDIO
PH;PENT HOUSE
PJ;PASAJE
PL;PLANTA
PN;PUENTE
POR;PORTERIA
POS;POSTE
PQ;PARQUEADERO
PRJ;PARAJE
PS;PASEO
PT;PUESTO
SA;SALON
SC;SALON COMUNAL
SD;SALIDA
SEC;SECTOR
SL;SOLAR
SS;SEMISOTANO
ST;SOTANO
SUITE;SUITE
SUR;SUR
TER;TERMINAL
TERPLN;TERRAPLEN
TO;TORRE
TV;TRANSVERSAL
TZ;TERRAZA
UN;UNIDAD
UR;UNIDAD RESIDENCIAL
URB;URBANIZACION
VRD;VEREDA
VTE;VARIANTE
ZF;ZONA FRANCA
ZN;ZONA
