Autoid;CUP;Valor;Compania
2001;905702;12480;CLINICA SAN JUAN DE DIOS
2001;906401;42305;CLINICA SAN JUAN DE DIOS
2001;903103;10250;CLINICA SAN JUAN DE DIOS
2001;903104;18505;CLINICA SAN JUAN DE DIOS
2001;903105;23185;CLINICA SAN JUAN DE DIOS
2001;903106;68385;CLINICA SAN JUAN DE DIOS
2001;903107;7195;CLINICA SAN JUAN DE DIOS
2001;903109;33035;CLINICA SAN JUAN DE DIOS
2001;903110;32680;CLINICA SAN JUAN DE DIOS
2001;903111;18875;CLINICA SAN JUAN DE DIOS
2001;908002;19980;CLINICA SAN JUAN DE DIOS
2001;903112;26160;CLINICA SAN JUAN DE DIOS
2001;906601;13680;CLINICA SAN JUAN DE DIOS
2001;E19014;7710;CLINICA SAN JUAN DE DIOS
2001;903801;3315;CLINICA SAN JUAN DE DIOS
2001;903802;3345;CLINICA SAN JUAN DE DIOS
2001;905201;22105;CLINICA SAN JUAN DE DIOS
2001;905202;19100;CLINICA SAN JUAN DE DIOS
2001;903113;13240;CLINICA SAN JUAN DE DIOS
2001;903101;17515;CLINICA SAN JUAN DE DIOS
2001;908701;153685;CLINICA SAN JUAN DE DIOS
2001;908001;51020;CLINICA SAN JUAN DE DIOS
2001;901201;30720;CLINICA SAN JUAN DE DIOS
2001;906101;30720;CLINICA SAN JUAN DE DIOS
2001;903401;5105;CLINICA SAN JUAN DE DIOS
2001;906203;20835;CLINICA SAN JUAN DE DIOS
2001;906901;4635;CLINICA SAN JUAN DE DIOS
2001;902002;7810;CLINICA SAN JUAN DE DIOS
2001;902003;56135;CLINICA SAN JUAN DE DIOS
2001;903803;2980;CLINICA SAN JUAN DE DIOS
2001;903804;3005;CLINICA SAN JUAN DE DIOS
2001;905704;14425;CLINICA SAN JUAN DE DIOS
2001;905706;12260;CLINICA SAN JUAN DE DIOS
2001;905707;12260;CLINICA SAN JUAN DE DIOS
2001;903402;6885;CLINICA SAN JUAN DE DIOS
2001;904801;27440;CLINICA SAN JUAN DE DIOS
2001;904802;27440;CLINICA SAN JUAN DE DIOS
2001;903403;22770;CLINICA SAN JUAN DE DIOS
2001;903404;32680;CLINICA SAN JUAN DE DIOS
2001;903405;8155;CLINICA SAN JUAN DE DIOS
2001;903406;32680;CLINICA SAN JUAN DE DIOS
2001;903407;24645;CLINICA SAN JUAN DE DIOS
2001;E19051;9030;CLINICA SAN JUAN DE DIOS
2001;903001;7320;CLINICA SAN JUAN DE DIOS
