formato;id_item;item;tipoformato;pantalla;tipodato;liminf;limsup;longitud;tipocontrol;ancho;alto;defecto;parametro;obligatorio;traerde;lineasola;cierrafila;titulo;imagen;tip;mensaje;compania;tftraerde;campotraerde;subformato;fechaconsul;finalidad;causaext;estado;orden;formatoxml;tagxml;etiqxml;cargoxitem
AYUDAS DIAGNOSTICAS;1;<h3> AYUDAS DIAGNOSTICAS </h3>;ADMINISTRATIVOS;1;;0;0;;;;;;;;;;;1;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;1;;;;
AYUDAS DIAGNOSTICAS;2;<b> INFORMACIÓN DEL EXAMEN </b>;ADMINISTRATIVOS;1;;0;0;;;;;;;;;;;1;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;2;;;;
AYUDAS DIAGNOSTICAS;3;TIPO EXAMEN;ADMINISTRATIVOS;1;L;0;0;1000;Cuadro de Texto;650;0;;;1;;0;1;;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;3;0;;;
AYUDAS DIAGNOSTICAS;4;FECHA DE REALIZACIÓN;ADMINISTRATIVOS;1;L;0;0;10;Fecha;80;0;;;1;;0;1;;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;4;0;;;
AYUDAS DIAGNOSTICAS;5;HORA DE SALIDA;ADMINISTRATIVOS;1;C;0;0;5;Cuadro de Texto;50;0;;;1;;0;1;;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;5;0;;;
AYUDAS DIAGNOSTICAS;6;LUGAR DE REALIZACIÓN;ADMINISTRATIVOS;1;L;0;0;10000;Cuadro de Texto;650;0;;;1;;0;1;;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;6;0;;;
AYUDAS DIAGNOSTICAS;7;<b> RECOMENDACIONES </b>;ADMINISTRATIVOS;1;;0;0;;;;;;;;;;;1;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;7;;;;
AYUDAS DIAGNOSTICAS;8;RECOMENDACIONES;ADMINISTRATIVOS;1;L;0;0;0;Area de Texto;800;50;;;1;;1;1;;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;8;0;;;
AYUDAS DIAGNOSTICAS;9;<b> USO DE AMBULANCIA </b>;ADMINISTRATIVOS;1;;0;0;;;;;;;;;;;1;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;9;;;;
AYUDAS DIAGNOSTICAS;10;¿UTILIZAR AMBULANCIA?;ADMINISTRATIVOS;1;L;0;0;0;Lista Opciones;0;0;;";Si;No";1;;0;1;;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;10;0;;;
AYUDAS DIAGNOSTICAS;11;<b> FACTURACIÓN </b>;ADMINISTRATIVOS;1;;0;0;;;;;;;;;;;1;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;11;;;;
AYUDAS DIAGNOSTICAS;12;¿FACTURAR?;ADMINISTRATIVOS;1;L;0;0;0;Lista Opciones;0;0;;";Si;No";1;;0;1;;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;12;0;;;
