formato;id_item;item;tipoformato;pantalla;tipodato;liminf;limsup;longitud;tipocontrol;ancho;alto;defecto;parametro;obligatorio;traerde;lineasola;cierrafila;titulo;imagen;tip;mensaje;compania;tftraerde;campotraerde;subformato;fechaconsul;finalidad;causaext;estado;orden;formatoxml;tagxml;etiqxml;cargoxitem
DATOS ADICIONALES FAMILIARES Y/O ACUDIENTES;1;<h3> DATOS ADICIONALES FAMILIARES Y/O ACUDIENTES </h3>;ADMINISTRATIVOS;1;;0;0;;;;;;;;;;;1;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;1;;;;
DATOS ADICIONALES FAMILIARES Y/O ACUDIENTES;2;IDENTIFICACIÓN;ADMINISTRATIVOS;1;;0;0;;;;;;;;;;;1;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;2;;;;
DATOS ADICIONALES FAMILIARES Y/O ACUDIENTES;3;TIPO DOCUMENTO;ADMINISTRATIVOS;1;L;0;0;0;Lista Opciones;0;0;;";Cedula de ciudadania;Tarjeta de identidad;Cedula de extranjeria;Pasaporte";1;;0;1;;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;3;0;;;
DATOS ADICIONALES FAMILIARES Y/O ACUDIENTES;4;NUMERO DE DOCUMENTO;ADMINISTRATIVOS;1;C;0;0;1000;Cuadro de Texto;650;0;;;1;;0;1;;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;4;0;;;
DATOS ADICIONALES FAMILIARES Y/O ACUDIENTES;5;LUGAR EXPEDICIÓN;ADMINISTRATIVOS;1;L;0;0;1000;Cuadro de Texto;650;0;;;1;;0;1;;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;5;0;;;
DATOS ADICIONALES FAMILIARES Y/O ACUDIENTES;6;UBICACIÓN;ADMINISTRATIVOS;1;;0;0;;;;;;;;;;;1;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;6;;;;
DATOS ADICIONALES FAMILIARES Y/O ACUDIENTES;7;DIRECCIÓN RESIDENCIA;ADMINISTRATIVOS;1;C;0;0;1000;Cuadro de Texto;650;0;;;1;;0;1;;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;7;0;;;
DATOS ADICIONALES FAMILIARES Y/O ACUDIENTES;8;TELÉFONO;ADMINISTRATIVOS;1;L;0;0;10000;Cuadro de Texto;650;0;;;1;;0;1;;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;8;0;;;
DATOS ADICIONALES FAMILIARES Y/O ACUDIENTES;9;PARENTESCO;ADMINISTRATIVOS;1;;0;0;;;;;;;;;;;1;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;9;;;;
DATOS ADICIONALES FAMILIARES Y/O ACUDIENTES;10;PARENTESCO;ADMINISTRATIVOS;1;C;0;0;1000;Cuadro de Texto;650;0;;;1;;0;1;;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;10;0;;;
DATOS ADICIONALES FAMILIARES Y/O ACUDIENTES;11;INSTITUCIÓN RESPONSABLE;ADMINISTRATIVOS;1;C;0;0;1000;Cuadro de Texto;650;0;;;1;;0;1;;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;11;0;;;
