formato;id_item;item;tipoformato;pantalla;tipodato;liminf;limsup;longitud;tipocontrol;ancho;alto;defecto;parametro;obligatorio;traerde;lineasola;cierrafila;titulo;imagen;tip;mensaje;compania;tftraerde;campotraerde;subformato;fechaconsul;finalidad;causaext;estado;orden;formatoxml;tagxml;etiqxml;cargoxitem
NOTIFICACION A FAMILIARES;1;LLEGO FAMILIAR;ADMINISTRATIVOS;1;C;0;0;0;Lista Opciones;0;0;;";SI;NO";1;;0;0;0;;;;CLINICA SAN JUAN DE DIOS;;;0;16/05/2014;;;AC;12;0;;;
NOTIFICACION A FAMILIARES;2;<h3> NOTIFICACIÓN A FAMILIARES </h3>;ADMINISTRATIVOS;1;;;;;;;;;;;;;;1;;;;CLINICA SAN JUAN DE DIOS;;;0;16/05/2014;;;AC;1;;;;
NOTIFICACION A FAMILIARES;3;<b> NÚMERO TELÉFONICO AL QUE MARCÓ </b>;ADMINISTRATIVOS;1;;;;;;;;;;;;;;1;;;;CLINICA SAN JUAN DE DIOS;;;0;16/05/2014;;;AC;2;;;;
NOTIFICACION A FAMILIARES;4;NUMERO TELEFONICO;ADMINISTRATIVOS;1;L;0;0;0;Area de Texto;800;50;;;1;;1;1;;;;;CLINICA SAN JUAN DE DIOS;;;0;16/05/2014;;;AC;3;0;;;
NOTIFICACION A FAMILIARES;5;<b> PERSONA A LA QUE CONTACTA </b>;ADMINISTRATIVOS;1;;;;;;;;;;;;;;1;;;;CLINICA SAN JUAN DE DIOS;;;0;16/05/2014;;;AC;4;;;;
NOTIFICACION A FAMILIARES;6;PERSONA A LA QUE CONTACTA;ADMINISTRATIVOS;1;L;0;0;0;Area de Texto;800;50;;;1;;1;1;;;;;CLINICA SAN JUAN DE DIOS;;;0;16/05/2014;;;AC;5;0;;;
NOTIFICACION A FAMILIARES;7;<b> PARENTESCO CON EL PACIENTE </b>;ADMINISTRATIVOS;1;;;;;;;;;;;;;;1;;;;CLINICA SAN JUAN DE DIOS;;;0;16/05/2014;;;AC;6;;;;
NOTIFICACION A FAMILIARES;8;PARENTESCO CON EL PACIENTE;ADMINISTRATIVOS;1;L;0;0;0;Area de Texto;800;50;;;1;;1;1;;;;;CLINICA SAN JUAN DE DIOS;;;0;16/05/2014;;;AC;7;0;;;
NOTIFICACION A FAMILIARES;9;<b> INFORMACIÓN BRINDADA </b>;ADMINISTRATIVOS;1;;;;;;;;;;;;;;1;;;;CLINICA SAN JUAN DE DIOS;;;0;16/05/2014;;;AC;8;;;;
NOTIFICACION A FAMILIARES;10;INFORMACION BRINDADA;ADMINISTRATIVOS;1;L;0;0;0;Area de Texto;800;70;;;1;;1;1;;;;;CLINICA SAN JUAN DE DIOS;;;0;16/05/2014;;;AC;9;0;;;
NOTIFICACION A FAMILIARES;11;<b> RESPUESTA DEL ACUDIENTE </b>;ADMINISTRATIVOS;1;;;;;;;;;;;;;;1;;;;CLINICA SAN JUAN DE DIOS;;;0;16/05/2014;;;AC;10;;;;
NOTIFICACION A FAMILIARES;12;RESPUESTA DEL ACUDIENTE;ADMINISTRATIVOS;1;L;0;0;0;Area de Texto;800;70;;;1;;1;1;;;;;CLINICA SAN JUAN DE DIOS;;;0;16/05/2014;;;AC;11;0;;;
