formato;id_item;item;tipoformato;pantalla;tipodato;liminf;limsup;longitud;tipocontrol;ancho;alto;defecto;parametro;obligatorio;traerde;lineasola;cierrafila;titulo;imagen;tip;mensaje;compania;tftraerde;campotraerde;subformato;fechaconsul;finalidad;causaext;estado;orden;formatoxml;tagxml;etiqxml;cargoxitem
NOTIFICACION A FAMILIARES;1;<h3> NOTIFICACIÓN A FAMILIARES </h3>;ADMINISTRATIVOS;1;;0;0;;;;;;;;;;;1;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;1;;;;
NOTIFICACION A FAMILIARES;2;<b> NÚMERO TELÉFONICO AL QUE MARCÓ </b>;ADMINISTRATIVOS;1;;0;0;;;;;;;;;;;1;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;2;;;;
NOTIFICACION A FAMILIARES;3;NUMERO TELEFONICO;ADMINISTRATIVOS;1;L;0;0;0;Area de Texto;800;50;;;1;;1;1;;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;3;0;;;
NOTIFICACION A FAMILIARES;4;<b> PERSONA A LA QUE SE CONTACTA </b>;ADMINISTRATIVOS;1;;0;0;;;;;;;;;;;1;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;4;;;;
NOTIFICACION A FAMILIARES;5;PERSONA A LA QUE SE CONTACTA;ADMINISTRATIVOS;1;L;0;0;0;Area de Texto;800;50;;;1;;1;1;;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;5;0;;;
NOTIFICACION A FAMILIARES;6;<b> PARENTESCO CON EL PACIENTE </b>;ADMINISTRATIVOS;1;;0;0;;;;;;;;;;;1;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;6;;;;
NOTIFICACION A FAMILIARES;7;PARENTESCO CON EL PACIENTE;ADMINISTRATIVOS;1;L;0;0;0;Area de Texto;650;50;;;1;;1;1;;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;7;0;;;
NOTIFICACION A FAMILIARES;8;<b> INFORMACIÓN BRINDADA </b>;ADMINISTRATIVOS;1;;0;0;;;;;;;;;;;1;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;8;;;;
NOTIFICACION A FAMILIARES;9;INFORMACION BRINDADA;ADMINISTRATIVOS;1;L;0;0;0;Area de Texto;800;70;;;1;;1;1;;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;9;0;;;
NOTIFICACION A FAMILIARES;10;<b> RESPUESTA DEL ACUDIENTE </b>;ADMINISTRATIVOS;1;;0;0;;;;;;;;;;;1;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;10;;;;
NOTIFICACION A FAMILIARES;11;RESPUESTA DEL ACUDIENTE;ADMINISTRATIVOS;1;L;0;0;0;Area de Texto;800;70;;;1;;1;1;;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;11;0;;;
