compania;tipoformato;formato;tablaformato;item;vritem;indicador;fechacrea;usuariocrea
CLINICA SAN JUAN DE DIOS;ENFERMERIA;HOJA DE GLASGOW;tbl00015;2;Respuesta espontanea;4;25/03/2014 12:08;ADMINISTRADOR
CLINICA SAN JUAN DE DIOS;ENFERMERIA;HOJA DE GLASGOW;tbl00015;2;Respuesta a voz;3;25/03/2014 12:08;ADMINISTRADOR
CLINICA SAN JUAN DE DIOS;ENFERMERIA;HOJA DE GLASGOW;tbl00015;2;Respuesta al dolor;2;25/03/2014 12:08;ADMINISTRADOR
CLINICA SAN JUAN DE DIOS;ENFERMERIA;HOJA DE GLASGOW;tbl00015;2;No responde;1;25/03/2014 12:08;ADMINISTRADOR
CLINICA SAN JUAN DE DIOS;ENFERMERIA;HOJA DE GLASGOW;tbl00015;3;Orientada;5;25/03/2014 12:09;ADMINISTRADOR
CLINICA SAN JUAN DE DIOS;ENFERMERIA;HOJA DE GLASGOW;tbl00015;3;Desorientada;4;25/03/2014 12:09;ADMINISTRADOR
CLINICA SAN JUAN DE DIOS;ENFERMERIA;HOJA DE GLASGOW;tbl00015;3;Inapropiada;3;25/03/2014 12:09;ADMINISTRADOR
CLINICA SAN JUAN DE DIOS;ENFERMERIA;HOJA DE GLASGOW;tbl00015;3;Incomprensible;2;25/03/2014 12:09;ADMINISTRADOR
CLINICA SAN JUAN DE DIOS;ENFERMERIA;HOJA DE GLASGOW;tbl00015;3;Ninguna;1;25/03/2014 12:09;ADMINISTRADOR
CLINICA SAN JUAN DE DIOS;ENFERMERIA;HOJA DE GLASGOW;tbl00015;4;Obedece ordenes;6;25/03/2014 12:12;ADMINISTRADOR
CLINICA SAN JUAN DE DIOS;ENFERMERIA;HOJA DE GLASGOW;tbl00015;4;Localiza estimulo;5;25/03/2014 12:12;ADMINISTRADOR
CLINICA SAN JUAN DE DIOS;ENFERMERIA;HOJA DE GLASGOW;tbl00015;4;Retira en estimulo doloroso;4;25/03/2014 12:12;ADMINISTRADOR
CLINICA SAN JUAN DE DIOS;ENFERMERIA;HOJA DE GLASGOW;tbl00015;4;Flexión anormal;3;25/03/2014 12:12;ADMINISTRADOR
CLINICA SAN JUAN DE DIOS;ENFERMERIA;HOJA DE GLASGOW;tbl00015;4;Extensión anormal;2;25/03/2014 12:12;ADMINISTRADOR
CLINICA SAN JUAN DE DIOS;ENFERMERIA;HOJA DE GLASGOW;tbl00015;4;Ninguna;1;25/03/2014 12:12;ADMINISTRADOR
