formato;id_item;item;tipoformato;pantalla;tipodato;liminf;limsup;longitud;tipocontrol;ancho;alto;defecto;parametro;obligatorio;traerde;lineasola;cierrafila;titulo;imagen;tip;mensaje;compania;tftraerde;campotraerde;subformato;fechaconsul;finalidad;causaext;estado;orden;formatoxml;tagxml;etiqxml;cargoxitem
NOTAS DE TRASLADOS;1;<h3> TRASLADOS ENTRE SERVICIOS </h3>;ENFERMERIA;1;;0;0;;;;;;;;;;;1;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;1;;;;
NOTAS DE TRASLADOS;2;<b> CONDICIONES FÍSICAS Y/O MENTALES </b>;ENFERMERIA;1;;0;0;;;;;;;;;;;1;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;5;;;;
NOTAS DE TRASLADOS;3;CONDICIONES FISICAS MENTALES;ENFERMERIA;1;L;0;0;0;Area de Texto;400;50;;;1;;1;1;;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;6;0;;;
NOTAS DE TRASLADOS;4;<b> OBSERVACIONES Y/O PENDIENTES </b>;ENFERMERIA;1;;0;0;;;;;;;;;;;1;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;7;;;;
NOTAS DE TRASLADOS;5;OBSERVACIONES PENDIENTES;ENFERMERIA;1;L;0;0;0;Area de Texto;400;50;;;1;;1;1;;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;8;0;;;
NOTAS DE TRASLADOS;6;<b> INFORMACIÓN CONTROL DE PERTENENCIAS </b>;ENFERMERIA;1;;0;0;;;;;;;;;;;1;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;9;;;;
NOTAS DE TRASLADOS;9;<b> LISTA DE CHEQUEO </b>;ENFERMERIA;1;;0;0;;;;;;;;;;;1;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;14;;;;
NOTAS DE TRASLADOS;10;<b> INFORMACIÓN TRASLADO </b>;ENFERMERIA;1;;0;0;;;;;;;;;;;1;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;2;;;;
NOTAS DE TRASLADOS;15;¿EXPLICÓ AL PACIENTE EL PROCEDIMIENTO DE TRASLADO?;ENFERMERIA;1;C;0;0;0;Lista Opciones;0;0;;";Si;No";1;;0;1;;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;15;0;;;
NOTAS DE TRASLADOS;16;¿TRASLADÓ PLACAS Y EXÁMENES DIAGNÓSTICOS?;ENFERMERIA;1;C;0;0;0;Lista Opciones;0;0;;";Si;No";1;;0;1;;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;16;0;;;
NOTAS DE TRASLADOS;7;CONCUERDA EL INVENTARIO DE PERTENENCIAS SISTEMATIZADO CON EL FÍSICO;ENFERMERIA;1;C;0;0;0;Lista Opciones;0;0;;";Si;No";1;;0;1;;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;10;0;;;
NOTAS DE TRASLADOS;8;MOTIVO DE DIFERENCIA ENTRE INVENTARIO DE PERTENENCIAS SISTEMATIZADO CON EL FÍSICO;ENFERMERIA;1;L;0;0;0;Area de Texto;400;50;;;0;;0;1;;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;11;0;;;
NOTAS DE TRASLADOS;13;<b> PLAN DE CUIDADOS (Diligenciar Jefe de Enfermería)</b>;ENFERMERIA;1;;0;0;;;;;;;;;;;1;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;12;;;;
NOTAS DE TRASLADOS;12;TIPO EVENTO;ENFERMERIA;1;C;0;0;0;Lista Opciones;0;0;;";Ingreso;Egreso";1;;0;0;;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;3;0;;;
NOTAS DE TRASLADOS;14;PLAN CUIDADOS;ENFERMERIA;1;L;0;0;0;Area de Texto;400;50;;;0;EVOLUCION;1;1;;;;;CLINICA SAN JUAN DE DIOS;ENFERMERIA;PLAN DE CUIDADOS;0;;;;AC;13;0;;;
NOTAS DE TRASLADOS;11;SERVICIO;ENFERMERIA;1;C;0;0;0;Lista Opciones;0;0;;";ADICCIONES;CRONICAS MUJERES;CRONICOS HOMBRES;INIMPUTABLES;INTERMEDIOS HOMBRES;INTERMEDIOS MUJERES;JUAN CIUDAD;LARGA ESTANCIA;OBSERVACION;PISO HOMBRES;UCA;UCA JUAN CIUDAD;UCI-P";1;;0;1;;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;4;0;;;
