formato;id_item;item;tipoformato;pantalla;tipodato;liminf;limsup;longitud;tipocontrol;ancho;alto;defecto;parametro;obligatorio;traerde;lineasola;cierrafila;titulo;imagen;tip;mensaje;compania;tftraerde;campotraerde;subformato;fechaconsul;finalidad;causaext;estado;orden;formatoxml;tagxml;etiqxml;cargoxitem
PACIENTE INMOVILIZADO;1;<h3> PACIENTE INMOVILIZADO </h3>;ENFERMERIA;1;;0;0;;;;;;;;;;;1;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;1;;;;
PACIENTE INMOVILIZADO;2;<b> SIGNOS VITALES </b>;ENFERMERIA;1;;0;0;;;;;;;;;;;1;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;2;;;;
PACIENTE INMOVILIZADO;3;TENSION ARTERIAL;ENFERMERIA;1;L;0;0;10;Cuadro de Texto;50;0;;;1;;0;0;;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;3;0;;;
PACIENTE INMOVILIZADO;4;PULSO;ENFERMERIA;1;L;0;0;10;Cuadro de Texto;50;0;;;1;;0;0;;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;4;0;;;
PACIENTE INMOVILIZADO;5;<b> RESPIRACIÓN </b>;ENFERMERIA;1;;0;0;;;;;;;;;;;1;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;5;;;;
PACIENTE INMOVILIZADO;6;TIPO;ENFERMERIA;1;L;0;0;0;Lista Opciones;0;0;;";Regular;Irregular";1;;0;0;;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;6;0;;;
PACIENTE INMOVILIZADO;7;FRECUENCIA RESPIRATORIA;ENFERMERIA;1;L;0;0;10;Cuadro de Texto;150;0;;;1;;0;1;;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;7;0;;;
PACIENTE INMOVILIZADO;8;<b> PUPILAS </b>;ENFERMERIA;1;;0;0;;;;;;;;;;;1;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;8;;;;
PACIENTE INMOVILIZADO;9;OJO DERECHO;ENFERMERIA;1;L;0;0;0;Lista Opciones;0;0;;";Midriasis;Miosis;Isocoricas";1;;0;0;;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;9;0;;;
PACIENTE INMOVILIZADO;10;OJO IZQUIERDO;ENFERMERIA;1;L;0;0;0;Lista Opciones;0;0;;";Midriasis;Miosis;Isocoricas";1;;0;1;;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;10;0;;;
PACIENTE INMOVILIZADO;11;<b> ESTADO DE CONCIENCIA </b>;ENFERMERIA;1;;0;0;;;;;;;;;;;1;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;11;;;;
PACIENTE INMOVILIZADO;12;ESTADO DE CONCIENCIA;ENFERMERIA;1;L;0;0;0;Lista Opciones;0;0;;";Normal;Somnolencia;Confusion;Agitado;Sedado";1;;0;1;;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;12;0;;;
PACIENTE INMOVILIZADO;13;<b> FUERZA MUSCULAR </b>;ENFERMERIA;1;;0;0;;;;;;;;;;;1;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;13;;;;
PACIENTE INMOVILIZADO;14;MIEMBROS SUPERIORES;ENFERMERIA;1;L;0;0;0;Lista Opciones;0;0;;";Presente;Ausente";1;;0;0;;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;14;0;;;
PACIENTE INMOVILIZADO;15;MIEMBROS INFERIORES;ENFERMERIA;1;L;0;0;0;Lista Opciones;0;0;;";Presente;Ausente";1;;0;1;;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;15;0;;;
PACIENTE INMOVILIZADO;16;<b> ESTADO CIRCULATORIO DISTAL </b>;ENFERMERIA;1;;0;0;;;;;;;;;;;1;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;16;;;;
PACIENTE INMOVILIZADO;17;COLOR PIEL;ENFERMERIA;1;L;0;0;0;Lista Opciones;0;0;;";Normal;Cianosis";1;;0;0;;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;17;0;;;
PACIENTE INMOVILIZADO;18;LLENADO CAPILAR;ENFERMERIA;1;L;0;0;0;Lista Opciones;0;0;;";Normal;Retardado";1;;0;1;;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;18;0;;;
