"formato";"perfil";"permiso";"tipoformato";"compania"
"ATENCION AMBULATORIA";"MEDICO GENERAL";"Escritura";"HISTORIA CLINICA";"CLINICA SAN JUAN DE DIOS"
"ATENCION AMBULATORIA";"SIAU";"Impresion";"HISTORIA CLINICA";"CLINICA SAN JUAN DE DIOS"
"ATENCION AMBULATORIA";"NEUROPSICOLOGA";"Impresion";"HISTORIA CLINICA";"CLINICA SAN JUAN DE DIOS"
"ATENCION AMBULATORIA";"PSIQUIATRA";"Impresion";"HISTORIA CLINICA";"CLINICA SAN JUAN DE DIOS"
"ATENCION AMBULATORIA";"PEDAGOGO";"Escritura";"HISTORIA CLINICA";"CLINICA SAN JUAN DE DIOS"
"ATENCION AMBULATORIA";"MEDICO SEXOLOGO";"Impresion";"HISTORIA CLINICA";"CLINICA SAN JUAN DE DIOS"
"ATENCION AMBULATORIA";"MEDICO GENERAL";"Impresion";"HISTORIA CLINICA";"CLINICA SAN JUAN DE DIOS"
"ATENCION AMBULATORIA";"PSIQUIATRA";"Escritura";"HISTORIA CLINICA";"CLINICA SAN JUAN DE DIOS"
"ATENCION AMBULATORIA";"PEDAGOGO";"Impresion";"HISTORIA CLINICA";"CLINICA SAN JUAN DE DIOS"
"ATENCION AMBULATORIA";"TERAPEUTA OCUPACIONAL";"Escritura";"HISTORIA CLINICA";"CLINICA SAN JUAN DE DIOS"
"ATENCION AMBULATORIA";"PSICOLOGO";"Impresion";"HISTORIA CLINICA";"CLINICA SAN JUAN DE DIOS"
"ATENCION AMBULATORIA";"NUTRICIONISTA";"Escritura";"HISTORIA CLINICA";"CLINICA SAN JUAN DE DIOS"
"ATENCION AMBULATORIA";"RESIDENTE";"Impresion";"HISTORIA CLINICA";"CLINICA SAN JUAN DE DIOS"
"ATENCION AMBULATORIA";"NEUROPSICOLOGA";"Escritura";"HISTORIA CLINICA";"CLINICA SAN JUAN DE DIOS"
"ATENCION AMBULATORIA";"TERAPEUTA OCUPACIONAL";"Impresion";"HISTORIA CLINICA";"CLINICA SAN JUAN DE DIOS"
"ATENCION AMBULATORIA";"PSICOLOGO";"Escritura";"HISTORIA CLINICA";"CLINICA SAN JUAN DE DIOS"
"ATENCION AMBULATORIA";"MEDICO SEXOLOGO";"Escritura";"HISTORIA CLINICA";"CLINICA SAN JUAN DE DIOS"
"ATENCION AMBULATORIA";"NUTRICIONISTA";"Impresion";"HISTORIA CLINICA";"CLINICA SAN JUAN DE DIOS"
