formato;id_item;item;tipoformato;pantalla;tipodato;liminf;limsup;longitud;tipocontrol;ancho;alto;defecto;parametro;obligatorio;traerde;lineasola;cierrafila;titulo;imagen;tip;mensaje;compania;tftraerde;campotraerde;subformato;fechaconsul;finalidad;causaext;estado;orden;formatoxml;tagxml;etiqxml;cargoxitem
EPICRISIS;1;<h3>EPICRISIS</h3>;HISTORIA CLINICA;1;;0;0;;;;;;;;;;;1;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;1;;;;
EPICRISIS;2;<b> DIAGNÓSTICO INGRESO </b>;HISTORIA CLINICA;1;;0;0;;;;;;;;;;;1;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;2;;;;
EPICRISIS;3;DIAGNOSTICO  INGRESO;HISTORIA CLINICA;1;L;0;0;0;Area de Texto;650;70;;;1;;1;1;;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;3;0;;;
EPICRISIS;4;<b> DIAGNÓSTICO EGRESO </b>;HISTORIA CLINICA;1;;0;0;;;;;;;;;;;1;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;4;;;;
EPICRISIS;5;Diagnostico;HISTORIA CLINICA;1;;0;0;;;;;;;;;;;1;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;5;;;;
EPICRISIS;6;<b> MOTIVO CONSULTA </b>;HISTORIA CLINICA;1;;0;0;;;;;;;;;;;1;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;6;;;;
EPICRISIS;7;MOTIVO DE CONSULTA;HISTORIA CLINICA;1;L;0;0;0;Area de Texto;650;100;;;1;HOJA DE INGRESO;1;1;;;;;CLINICA SAN JUAN DE DIOS;HISTORIA CLINICA;MOTIVO DE CONSULTA;0;;;;AC;7;0;;;
EPICRISIS;8;<b> ENFERMEDAD ACTUAL </b>;HISTORIA CLINICA;1;;0;0;;;;;;;;;;;1;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;8;;;;
EPICRISIS;9;ENFERMEDAD ACTUAL;HISTORIA CLINICA;1;L;0;0;0;Area de Texto;650;100;;;1;HOJA DE INGRESO;1;1;;;;;CLINICA SAN JUAN DE DIOS;;ENFERMEDAD ACTUAL;0;;;;AC;9;0;;;
EPICRISIS;10;<b> ANTECEDENTES </b>;HISTORIA CLINICA;1;;0;0;;;;;;;;;;;1;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;10;;;;
EPICRISIS;11;ANTECEDENTES DE IMPORTANCIA;HISTORIA CLINICA;1;L;0;0;0;Area de Texto;650;100;;;1;;1;1;;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;11;0;;;
