formato;id_item;item;tipoformato;pantalla;tipodato;liminf;limsup;longitud;tipocontrol;ancho;alto;defecto;parametro;obligatorio;traerde;lineasola;cierrafila;titulo;imagen;tip;mensaje;compania;tftraerde;campotraerde;subformato;fechaconsul;finalidad;causaext;estado;orden;formatoxml;tagxml;etiqxml;cargoxitem
FORMATO NO POS MEDICAMENTOS;16;TIEMPO DE RESPUESTA ESPERADO DEL MEDICAMENTO NO POS SOLICITADO;HISTORIA CLINICA;1;;0;0;0;;;;;;;;;;1;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;16;;;;
FORMATO NO POS MEDICAMENTOS;17;TIEMPO RESPUESTA ESPERADO;HISTORIA CLINICA;1;L;0;0;0;Area de Texto;800;70;;;1;;1;1;;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;17;0;;;
FORMATO NO POS MEDICAMENTOS;18;LISTA DE VERIFICACIÓN;HISTORIA CLINICA;1;;0;0;0;;;;;;;;;;1;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;18;;;;
FORMATO NO POS MEDICAMENTOS;19;¿EXISTE RIESGO INMINENTE PARA LA VIDA Y SALUD DEL PACIENTE?;HISTORIA CLINICA;1;C;0;0;0;Lista Opciones;0;0;;";Si existe;No existe";1;;0;1;;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;19;0;;;
FORMATO NO POS MEDICAMENTOS;20;¿SE HAN AGOTADO LAS POSIBILIDADES TERAPEUTICAS EXISTENTES EN EL POS?;HISTORIA CLINICA;1;C;0;0;0;Lista Opciones;0;0;;";Si se han agotado las posibilidades;No se han agotado las posibilidades";1;;0;1;;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;20;0;;;
FORMATO NO POS MEDICAMENTOS;21;EL MEDICAMENTO NO POS SOLICITADO ESTÁ AUTORIZADO POR EL INVIMA PARA ESTE DIAGNÓSTICO?;HISTORIA CLINICA;1;C;0;0;0;Lista Opciones;0;0;;";Si esta autorizado; No esta autorizado";1;;0;1;;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;21;0;;;
FORMATO NO POS MEDICAMENTOS;3;FECHA DEL DIAGNÓSTICO;HISTORIA CLINICA;1;L;0;0;1000;Cuadro de Texto;800;0;;;1;;0;1;;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;3;0;;;
FORMATO NO POS MEDICAMENTOS;1;<h3> FORMATO NO POS MEDICAMENTOS </h3>;HISTORIA CLINICA;1;;0;0;0;;;;;;;;;;1;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;1;;;;
FORMATO NO POS MEDICAMENTOS;2;Diagnostico;HISTORIA CLINICA;1;;0;0;0;;;;;;;;;;1;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;2;;;;
FORMATO NO POS MEDICAMENTOS;4;INFORMACIÓN CLÍNICA RELEVANTE;HISTORIA CLINICA;1;;0;0;0;;;;;;;;;;1;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;4;;;;
