formato;id_item;item;tipoformato;pantalla;tipodato;liminf;limsup;longitud;tipocontrol;ancho;alto;defecto;parametro;obligatorio;traerde;lineasola;cierrafila;titulo;imagen;tip;mensaje;compania;tftraerde;campotraerde;subformato;fechaconsul;finalidad;causaext;estado;orden;formatoxml;tagxml;etiqxml;cargoxitem
FORMATO NO POS PROCEDIMIENTOS;3;FECHA DEL DIAGNÓSTICO;HISTORIA CLINICA;1;L;0;0;1000;Cuadro de Texto;800;0;;;1;;0;1;0;;;;CLINICA SAN JUAN DE DIOS;;;0;20/04/2014 00:00;;;AC;3;0;;;
FORMATO NO POS PROCEDIMIENTOS;2;Diagnostico;HISTORIA CLINICA;1;;0;0;0;;0;0;;;;;0;0;1;;;;CLINICA SAN JUAN DE DIOS;;;0;20/04/2014 00:00;;;AC;2;0;;;
FORMATO NO POS PROCEDIMIENTOS;4;INFORMACIÓN CLÍNICA RELEVANTE;HISTORIA CLINICA;1;;0;0;0;;0;0;;;;;0;0;1;;;;CLINICA SAN JUAN DE DIOS;;;0;20/04/2014 00:00;;;AC;4;0;;;
FORMATO NO POS PROCEDIMIENTOS;5;INFORMACION CLINICA;HISTORIA CLINICA;1;L;0;0;0;Area de Texto;800;70;;;1;;1;1;0;;;;CLINICA SAN JUAN DE DIOS;;;0;20/04/2014 00:00;;;AC;5;0;;;
FORMATO NO POS PROCEDIMIENTOS;9;RESPUESTA ALCANZADA;HISTORIA CLINICA;1;L;0;0;0;Area de Texto;800;70;;;1;;1;1;0;;;;CLINICA SAN JUAN DE DIOS;;;0;20/04/2014 00:00;;;AC;9;0;;;
FORMATO NO POS PROCEDIMIENTOS;6;PROCEDIMIENTO POS UTILIZADO;HISTORIA CLINICA;1;;0;0;0;;0;0;;;;;0;0;1;;;;CLINICA SAN JUAN DE DIOS;;;0;20/04/2014 00:00;;;AC;6;0;;;
FORMATO NO POS PROCEDIMIENTOS;7;PROCEDIMIENTO POS UTILIZADO;HISTORIA CLINICA;1;L;0;0;0;Area de Texto;800;100;;;0;;1;1;0;;;;CLINICA SAN JUAN DE DIOS;;;0;20/04/2014 00:00;;;AC;7;0;;;
FORMATO NO POS PROCEDIMIENTOS;10;PROCEDIMIENTO NO POS SOLICITADO;HISTORIA CLINICA;1;;0;0;0;;0;0;;;;;0;0;1;;;;CLINICA SAN JUAN DE DIOS;;;0;20/04/2014 00:00;;;AC;10;0;;;
FORMATO NO POS PROCEDIMIENTOS;8;RESPUESTA ALCANZADA CON PROCEDIMIENTO POS;HISTORIA CLINICA;1;;0;0;0;;0;0;;;;;0;0;1;;;;CLINICA SAN JUAN DE DIOS;;;0;20/04/2014 00:00;;;AC;8;0;;;
FORMATO NO POS PROCEDIMIENTOS;11;PROCEDIMIENTO NO POS SOLICITADO;HISTORIA CLINICA;1;L;0;0;0;Area de Texto;800;100;;;0;;1;1;0;;;;CLINICA SAN JUAN DE DIOS;;;0;20/04/2014 00:00;;;AC;11;0;;;
FORMATO NO POS PROCEDIMIENTOS;12;JUSTIFICACIÓN DEL PROCEDIMIENTO SOLICITADO;HISTORIA CLINICA;1;;0;0;0;;0;0;;;;;0;0;1;;;;CLINICA SAN JUAN DE DIOS;;;0;20/04/2014 00:00;;;AC;12;0;;;
FORMATO NO POS PROCEDIMIENTOS;13;JUSTIFICACION PROCEDIMIENTO SOLICITADO;HISTORIA CLINICA;1;L;0;0;0;Area de Texto;800;70;;;1;;1;1;0;;;;CLINICA SAN JUAN DE DIOS;;;0;20/04/2014 00:00;;;AC;13;0;;;
