"formato";"perfil";"permiso";"tipoformato";"compania"
"FORMATO NO POS PROCEDIMIENTOS";"PSIQUIATRA";"Escritura";"HISTORIA CLINICA";"CLINICA SAN JUAN DE DIOS"
"FORMATO NO POS PROCEDIMIENTOS";"NUTRICIONISTA";"Escritura";"HISTORIA CLINICA";"CLINICA SAN JUAN DE DIOS"
"FORMATO NO POS PROCEDIMIENTOS";"MEDICO SEXOLOGO";"Impresion";"HISTORIA CLINICA";"CLINICA SAN JUAN DE DIOS"
"FORMATO NO POS PROCEDIMIENTOS";"MEDICO GENERAL";"Escritura";"HISTORIA CLINICA";"CLINICA SAN JUAN DE DIOS"
"FORMATO NO POS PROCEDIMIENTOS";"NEUROPSICOLOGA";"Escritura";"HISTORIA CLINICA";"CLINICA SAN JUAN DE DIOS"
"FORMATO NO POS PROCEDIMIENTOS";"RESIDENTE";"Impresion";"HISTORIA CLINICA";"CLINICA SAN JUAN DE DIOS"
"FORMATO NO POS PROCEDIMIENTOS";"MEDICO GENERAL DE URGENCIAS";"Escritura";"HISTORIA CLINICA";"CLINICA SAN JUAN DE DIOS"
"FORMATO NO POS PROCEDIMIENTOS";"SIAU";"Impresion";"HISTORIA CLINICA";"CLINICA SAN JUAN DE DIOS"
"FORMATO NO POS PROCEDIMIENTOS";"TERAPEUTA OCUPACIONAL";"Impresion";"HISTORIA CLINICA";"CLINICA SAN JUAN DE DIOS"
"FORMATO NO POS PROCEDIMIENTOS";"MEDICO SEXOLOGO";"Escritura";"HISTORIA CLINICA";"CLINICA SAN JUAN DE DIOS"
"FORMATO NO POS PROCEDIMIENTOS";"PSIQUIATRA";"Impresion";"HISTORIA CLINICA";"CLINICA SAN JUAN DE DIOS"
"FORMATO NO POS PROCEDIMIENTOS";"NUTRICIONISTA";"Impresion";"HISTORIA CLINICA";"CLINICA SAN JUAN DE DIOS"
"FORMATO NO POS PROCEDIMIENTOS";"RESIDENTE";"Escritura";"HISTORIA CLINICA";"CLINICA SAN JUAN DE DIOS"
"FORMATO NO POS PROCEDIMIENTOS";"MEDICO GENERAL";"Impresion";"HISTORIA CLINICA";"CLINICA SAN JUAN DE DIOS"
"FORMATO NO POS PROCEDIMIENTOS";"NEUROPSICOLOGA";"Impresion";"HISTORIA CLINICA";"CLINICA SAN JUAN DE DIOS"
"FORMATO NO POS PROCEDIMIENTOS";"TERAPEUTA OCUPACIONAL";"Escritura";"HISTORIA CLINICA";"CLINICA SAN JUAN DE DIOS"
"FORMATO NO POS PROCEDIMIENTOS";"MEDICO GENERAL DE URGENCIAS";"Impresion";"HISTORIA CLINICA";"CLINICA SAN JUAN DE DIOS"
