formato;id_item;item;tipoformato;pantalla;tipodato;liminf;limsup;longitud;tipocontrol;ancho;alto;defecto;parametro;obligatorio;traerde;lineasola;cierrafila;titulo;imagen;tip;mensaje;compania;tftraerde;campotraerde;subformato;fechaconsul;finalidad;causaext;estado;orden;formatoxml;tagxml;etiqxml;cargoxitem
HOJA DE INGRESO;1;<h3> HOJA DE INGRESO </h3>;HISTORIA CLINICA;1;;0;0;;;;;;;;;;;1;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;1;;;;
HOJA DE INGRESO;2;<b> MOTIVO DE CONSULTA </b>;HISTORIA CLINICA;1;;0;0;;;;;;;;;;;1;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;2;;;;
HOJA DE INGRESO;3;MOTIVO DE CONSULTA;HISTORIA CLINICA;1;L;0;0;0;Area de Texto;650;70;;;1;;1;1;;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;3;0;;;
HOJA DE INGRESO;4;<b> ENFERMEDAD ACTUAL </b>;HISTORIA CLINICA;1;;0;0;;;;;;;;;;;1;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;4;;;;
HOJA DE INGRESO;5;ENFERMEDAD ACTUAL;HISTORIA CLINICA;1;L;0;0;0;Area de Texto;650;70;;;1;;1;1;;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;5;0;;;
HOJA DE INGRESO;6;<b> REVISIÓN POR SISTEMA </b>;HISTORIA CLINICA;1;;0;0;;;;;;;;;;;1;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;6;;;;
HOJA DE INGRESO;7;REVISION POR SISTEMAS;HISTORIA CLINICA;1;L;0;0;0;Area de Texto;650;70;;;1;;1;1;;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;7;0;;;
HOJA DE INGRESO;8;<b> PERSONALIDAD PREVIA </b>;HISTORIA CLINICA;1;;0;0;;;;;;;;;;;1;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;8;;;;
HOJA DE INGRESO;10;<b> HISTORIA PERSONAL </b>;HISTORIA CLINICA;1;;0;0;;;;;;;;;;;1;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;10;;;;
HOJA DE INGRESO;9;PERSONALIDAD PREVIA;HISTORIA CLINICA;1;L;0;0;0;Area de Texto;650;70;;;1;HOJA DE INGRESO;1;1;;;;;CLINICA SAN JUAN DE DIOS;HISTORIA CLINICA;PERSONALIDAD PREVIA;0;;;;AC;9;0;;;
