"formato";"perfil";"permiso";"tipoformato";"compania"
"JUSTIFICACIONES";"PSIQUIATRA";"Escritura";"HISTORIA CLINICA";"CLINICA SAN JUAN DE DIOS"
"JUSTIFICACIONES";"JEFE DE ENFERMERIA";"Escritura";"HISTORIA CLINICA";"CLINICA SAN JUAN DE DIOS"
"JUSTIFICACIONES";"MEDICO GENERAL";"Escritura";"HISTORIA CLINICA";"CLINICA SAN JUAN DE DIOS"
"JUSTIFICACIONES";"MEDICO GENERAL DE URGENCIAS";"Escritura";"HISTORIA CLINICA";"CLINICA SAN JUAN DE DIOS"
"JUSTIFICACIONES";"RESIDENTE";"Escritura";"HISTORIA CLINICA";"CLINICA SAN JUAN DE DIOS"
"JUSTIFICACIONES";"TERAPEUTA OCUPACIONAL";"Escritura";"HISTORIA CLINICA";"CLINICA SAN JUAN DE DIOS"
"JUSTIFICACIONES";"NUTRICIONISTA";"Escritura";"HISTORIA CLINICA";"CLINICA SAN JUAN DE DIOS"
"JUSTIFICACIONES";"NEUROPSICOLOGA";"Escritura";"HISTORIA CLINICA";"CLINICA SAN JUAN DE DIOS"
"JUSTIFICACIONES";"MEDICO SEXOLOGO";"Escritura";"HISTORIA CLINICA";"CLINICA SAN JUAN DE DIOS"
"JUSTIFICACIONES";"SIAU";"Impresion";"HISTORIA CLINICA";"CLINICA SAN JUAN DE DIOS"
"JUSTIFICACIONES";"JEFE DE ENFERMERIA";"Impresion";"HISTORIA CLINICA";"CLINICA SAN JUAN DE DIOS"
"JUSTIFICACIONES";"PSIQUIATRA";"Impresion";"HISTORIA CLINICA";"CLINICA SAN JUAN DE DIOS"
"JUSTIFICACIONES";"MEDICO GENERAL";"Impresion";"HISTORIA CLINICA";"CLINICA SAN JUAN DE DIOS"
"JUSTIFICACIONES";"RESIDENTE";"Impresion";"HISTORIA CLINICA";"CLINICA SAN JUAN DE DIOS"
"JUSTIFICACIONES";"TERAPEUTA OCUPACIONAL";"Impresion";"HISTORIA CLINICA";"CLINICA SAN JUAN DE DIOS"
"JUSTIFICACIONES";"NUTRICIONISTA";"Impresion";"HISTORIA CLINICA";"CLINICA SAN JUAN DE DIOS"
"JUSTIFICACIONES";"NEUROPSICOLOGA";"Impresion";"HISTORIA CLINICA";"CLINICA SAN JUAN DE DIOS"
"JUSTIFICACIONES";"MEDICO GENERAL DE URGENCIAS";"Impresion";"HISTORIA CLINICA";"CLINICA SAN JUAN DE DIOS"
"JUSTIFICACIONES";"MEDICO SEXOLOGO";"Impresion";"HISTORIA CLINICA";"CLINICA SAN JUAN DE DIOS"
"JUSTIFICACIONES";"PSICOLOGO";"Escritura";"HISTORIA CLINICA";"CLINICA SAN JUAN DE DIOS"
"JUSTIFICACIONES";"PSICOLOGO";"Impresion";"HISTORIA CLINICA";"CLINICA SAN JUAN DE DIOS"
