"formato";"perfil";"permiso";"tipoformato";"compania"
"NOTAS EVOLUCION";"MEDICO GENERAL";"Modificacion";"HISTORIA CLINICA";"CLINICA SAN JUAN DE DIOS"
"NOTAS EVOLUCION";"MEDICO GENERAL DE URGENCIAS";"Modificacion";"HISTORIA CLINICA";"CLINICA SAN JUAN DE DIOS"
"NOTAS EVOLUCION";"EDUCADOR FISICO";"Modificacion";"HISTORIA CLINICA";"CLINICA SAN JUAN DE DIOS"
"NOTAS EVOLUCION";"MEDICO SEXOLOGO";"Modificacion";"HISTORIA CLINICA";"CLINICA SAN JUAN DE DIOS"
"NOTAS EVOLUCION";"NEUROPSICOLOGO";"Modificacion";"HISTORIA CLINICA";"CLINICA SAN JUAN DE DIOS"
"NOTAS EVOLUCION";"NUTRICIONISTA";"Modificacion";"HISTORIA CLINICA";"CLINICA SAN JUAN DE DIOS"
"NOTAS EVOLUCION";"PEDAGOGO";"Modificacion";"HISTORIA CLINICA";"CLINICA SAN JUAN DE DIOS"
"NOTAS EVOLUCION";"PSICOLOGO";"Modificacion";"HISTORIA CLINICA";"CLINICA SAN JUAN DE DIOS"
"NOTAS EVOLUCION";"RESIDENTE";"Modificacion";"HISTORIA CLINICA";"CLINICA SAN JUAN DE DIOS"
"NOTAS EVOLUCION";"TRABAJO SOCIAL";"Modificacion";"HISTORIA CLINICA";"CLINICA SAN JUAN DE DIOS"
"NOTAS EVOLUCION";"PSIQUIATRA";"Modificacion";"HISTORIA CLINICA";"CLINICA SAN JUAN DE DIOS"
"NOTAS EVOLUCION";"SIAU";"Modificacion";"HISTORIA CLINICA";"CLINICA SAN JUAN DE DIOS"
