"formato";"perfil";"permiso";"tipoformato";"compania"
"TRIAGE";"SIAU";"Impresion";"HISTORIA CLINICA";"CLINICA SAN JUAN DE DIOS"
"TRIAGE";"PSIQUIATRA";"Impresion";"HISTORIA CLINICA";"CLINICA SAN JUAN DE DIOS"
"TRIAGE";"RESIDENTE";"Impresion";"HISTORIA CLINICA";"CLINICA SAN JUAN DE DIOS"
"TRIAGE";"MEDICO GENERAL";"Impresion";"HISTORIA CLINICA";"CLINICA SAN JUAN DE DIOS"
"TRIAGE";"INTERNO";"Impresion";"HISTORIA CLINICA";"CLINICA SAN JUAN DE DIOS"
"TRIAGE";"MEDICO GENERAL";"Escritura";"HISTORIA CLINICA";"CLINICA SAN JUAN DE DIOS"
"TRIAGE";"PSIQUIATRA";"Escritura";"HISTORIA CLINICA";"CLINICA SAN JUAN DE DIOS"
"TRIAGE";"RESIDENTE";"Escritura";"HISTORIA CLINICA";"CLINICA SAN JUAN DE DIOS"
"TRIAGE";"INTERNO";"Escritura";"HISTORIA CLINICA";"CLINICA SAN JUAN DE DIOS"
"TRIAGE";"AUXILIAR DE ENFERMERIA";"Escritura";"HISTORIA CLINICA";"CLINICA SAN JUAN DE DIOS"
"TRIAGE";"MEDICO GENERAL DE URGENCIAS";"Escritura";"HISTORIA CLINICA";"CLINICA SAN JUAN DE DIOS"
"TRIAGE";"MEDICO GENERAL DE URGENCIAS";"Impresion";"HISTORIA CLINICA";"CLINICA SAN JUAN DE DIOS"
