"formato";"perfil";"permiso";"tipoformato";"compania"
"CAIDAS";"PSIQUIATRA";"Impresion";"PACIENTE SEGURO";"CLINICA SAN JUAN DE DIOS"
"CAIDAS";"MEDICO GENERAL DE URGENCIAS";"Escritura";"PACIENTE SEGURO";"CLINICA SAN JUAN DE DIOS"
"CAIDAS";"RESIDENTE";"Impresion";"PACIENTE SEGURO";"CLINICA SAN JUAN DE DIOS"
"CAIDAS";"RESIDENTE";"Escritura";"PACIENTE SEGURO";"CLINICA SAN JUAN DE DIOS"
"CAIDAS";"JEFE DE ENFERMERIA";"Impresion";"PACIENTE SEGURO";"CLINICA SAN JUAN DE DIOS"
"CAIDAS";"SIAU";"Impresion";"PACIENTE SEGURO";"CLINICA SAN JUAN DE DIOS"
"CAIDAS";"JEFE DE ENFERMERIA";"Escritura";"PACIENTE SEGURO";"CLINICA SAN JUAN DE DIOS"
"CAIDAS";"MEDICO GENERAL";"Impresion";"PACIENTE SEGURO";"CLINICA SAN JUAN DE DIOS"
"CAIDAS";"PSIQUIATRA";"Escritura";"PACIENTE SEGURO";"CLINICA SAN JUAN DE DIOS"
"CAIDAS";"MEDICO GENERAL DE URGENCIAS";"Impresion";"PACIENTE SEGURO";"CLINICA SAN JUAN DE DIOS"
"CAIDAS";"MEDICO GENERAL";"Escritura";"PACIENTE SEGURO";"CLINICA SAN JUAN DE DIOS"
