"formato";"perfil";"permiso";"tipoformato";"compania"
"CONDUCTA SUICIDA";"RESIDENTE";"Escritura";"PACIENTE SEGURO";"CLINICA SAN JUAN DE DIOS"
"CONDUCTA SUICIDA";"RESIDENTE";"Impresion";"PACIENTE SEGURO";"CLINICA SAN JUAN DE DIOS"
"CONDUCTA SUICIDA";"JEFE DE ENFERMERIA";"Escritura";"PACIENTE SEGURO";"CLINICA SAN JUAN DE DIOS"
"CONDUCTA SUICIDA";"PSIQUIATRA";"Impresion";"PACIENTE SEGURO";"CLINICA SAN JUAN DE DIOS"
"CONDUCTA SUICIDA";"PSIQUIATRA";"Escritura";"PACIENTE SEGURO";"CLINICA SAN JUAN DE DIOS"
"CONDUCTA SUICIDA";"JEFE DE ENFERMERIA";"Impresion";"PACIENTE SEGURO";"CLINICA SAN JUAN DE DIOS"
"CONDUCTA SUICIDA";"SIAU";"Impresion";"PACIENTE SEGURO";"CLINICA SAN JUAN DE DIOS"
"CONDUCTA SUICIDA";"MEDICO GENERAL";"Escritura";"PACIENTE SEGURO";"CLINICA SAN JUAN DE DIOS"
"CONDUCTA SUICIDA";"MEDICO GENERAL";"Impresion";"PACIENTE SEGURO";"CLINICA SAN JUAN DE DIOS"
"CONDUCTA SUICIDA";"MEDICO GENERAL DE URGENCIAS";"Escritura";"PACIENTE SEGURO";"CLINICA SAN JUAN DE DIOS"
"CONDUCTA SUICIDA";"MEDICO GENERAL DE URGENCIAS";"Impresion";"PACIENTE SEGURO";"CLINICA SAN JUAN DE DIOS"
