"formato";"perfil";"permiso";"tipoformato";"compania"
"CONSUMO SPA INTRAHOSPITALARIO";"PSIQUIATRA";"Escritura";"PACIENTE SEGURO";"CLINICA SAN JUAN DE DIOS"
"CONSUMO SPA INTRAHOSPITALARIO";"JEFE DE ENFERMERIA";"Escritura";"PACIENTE SEGURO";"CLINICA SAN JUAN DE DIOS"
"CONSUMO SPA INTRAHOSPITALARIO";"MEDICO GENERAL";"Escritura";"PACIENTE SEGURO";"CLINICA SAN JUAN DE DIOS"
"CONSUMO SPA INTRAHOSPITALARIO";"MEDICO GENERAL DE URGENCIAS";"Escritura";"PACIENTE SEGURO";"CLINICA SAN JUAN DE DIOS"
"CONSUMO SPA INTRAHOSPITALARIO";"RESIDENTE";"Escritura";"PACIENTE SEGURO";"CLINICA SAN JUAN DE DIOS"
"CONSUMO SPA INTRAHOSPITALARIO";"PSIQUIATRA";"Impresion";"PACIENTE SEGURO";"CLINICA SAN JUAN DE DIOS"
"CONSUMO SPA INTRAHOSPITALARIO";"JEFE DE ENFERMERIA";"Impresion";"PACIENTE SEGURO";"CLINICA SAN JUAN DE DIOS"
"CONSUMO SPA INTRAHOSPITALARIO";"MEDICO GENERAL";"Impresion";"PACIENTE SEGURO";"CLINICA SAN JUAN DE DIOS"
"CONSUMO SPA INTRAHOSPITALARIO";"MEDICO GENERAL DE URGENCIAS";"Impresion";"PACIENTE SEGURO";"CLINICA SAN JUAN DE DIOS"
"CONSUMO SPA INTRAHOSPITALARIO";"RESIDENTE";"Impresion";"PACIENTE SEGURO";"CLINICA SAN JUAN DE DIOS"
"CONSUMO SPA INTRAHOSPITALARIO";"SIAU";"Impresion";"PACIENTE SEGURO";"CLINICA SAN JUAN DE DIOS"
