formato;id_item;item;tipoformato;pantalla;tipodato;liminf;limsup;longitud;tipocontrol;ancho;alto;defecto;parametro;obligatorio;traerde;lineasola;cierrafila;titulo;imagen;tip;mensaje;compania;tftraerde;campotraerde;subformato;fechaconsul;finalidad;causaext;estado;orden;formatoxml;tagxml;etiqxml;cargoxitem
EVASIONES;1;SERVICIO;PACIENTE SEGURO;1;C;0;0;0;Lista Opciones;0;0;;";ADICCIONES;CRONICAS MUJERES;CRONICOS HOMBRES;INIMPUTABLES;INTERMEDIOS HOMBRES;INTERMEDIOS MUJERES;JUAN CIUDAD;LARGA ESTANCIA;OBSERVACION;PISO HOMBRES;UCA;UCA JUAN CIUDAD;UCI-P";1;;0;1;0;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;2;0;;;
EVASIONES;12;SEGUIMIENTO;PACIENTE SEGURO;1;C;0;0;600;Area de Texto;600;120;;;0;;1;0;0;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;15;0;;;
EVASIONES;2;FECHA DEL EVENTO;PACIENTE SEGURO;1;C;0;0;10;Fecha;80;0;;;1;;0;0;0;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;3;0;;;
EVASIONES;3;HORA DEL EVENTO;PACIENTE SEGURO;1;C;0;0;50;Cuadro de Texto;50;0;;;1;;0;1;0;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;4;0;;;
EVASIONES;4;TIPO;PACIENTE SEGURO;1;C;0;0;0;Lista Opciones;0;0;;";Evasión;Intento de evasión";1;;0;0;0;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;5;0;;;
EVASIONES;5;SINTOMAS AL MOMENTO DE LA EVASIÓN;PACIENTE SEGURO;1;C;0;0;0;Lista Opciones;0;0;;";No presenta;Alucionaciones;Delirios;Heteroagresividad contra objetos;Heteroagresividad contra personas; Otros";1;;0;1;0;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;6;0;;;
EVASIONES;6;EVASIONES PREVIAS;PACIENTE SEGURO;1;C;0;0;0;Lista Opciones;0;0;;";No presenta;Una;Dos;Tres;Cuatro;Cinco;Superiores a Cinco";1;;0;0;0;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;7;0;;;
EVASIONES;7;LUGAR DE LA EVASIÓN;PACIENTE SEGURO;1;C;0;0;0;Lista Opciones;0;0;;";Area común;Consultorio;Parqueadero;Portería;Patio;Servicio;Otro";1;;0;1;0;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;8;0;;;
EVASIONES;10;REGRESÓ ANTES DE 2 HORAS;PACIENTE SEGURO;1;C;0;0;0;Lista Opciones;0;0;;";Si;No";1;;0;0;0;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;13;0;;;
EVASIONES;11;SE UTILIZÓ AMBULANCIA;PACIENTE SEGURO;1;C;0;0;0;Lista Opciones;0;0;;";Sí;No";1;;0;0;0;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;12;0;;;
