"formato";"perfil";"permiso";"tipoformato";"compania"
"EVASIONES";"PSIQUIATRA";"Escritura";"PACIENTE SEGURO";"CLINICA SAN JUAN DE DIOS"
"EVASIONES";"JEFE DE ENFERMERIA";"Escritura";"PACIENTE SEGURO";"CLINICA SAN JUAN DE DIOS"
"EVASIONES";"MEDICO GENERAL DE URGENCIAS";"Impresion";"PACIENTE SEGURO";"CLINICA SAN JUAN DE DIOS"
"EVASIONES";"MEDICO GENERAL DE URGENCIAS";"Escritura";"PACIENTE SEGURO";"CLINICA SAN JUAN DE DIOS"
"EVASIONES";"RESIDENTE";"Impresion";"PACIENTE SEGURO";"CLINICA SAN JUAN DE DIOS"
"EVASIONES";"SIAU";"Impresion";"PACIENTE SEGURO";"CLINICA SAN JUAN DE DIOS"
"EVASIONES";"MEDICO GENERAL";"Escritura";"PACIENTE SEGURO";"CLINICA SAN JUAN DE DIOS"
"EVASIONES";"RESIDENTE";"Escritura";"PACIENTE SEGURO";"CLINICA SAN JUAN DE DIOS"
"EVASIONES";"JEFE DE ENFERMERIA";"Impresion";"PACIENTE SEGURO";"CLINICA SAN JUAN DE DIOS"
"EVASIONES";"PSIQUIATRA";"Impresion";"PACIENTE SEGURO";"CLINICA SAN JUAN DE DIOS"
"EVASIONES";"MEDICO GENERAL";"Impresion";"PACIENTE SEGURO";"CLINICA SAN JUAN DE DIOS"
