formato;id_item;item;tipoformato;pantalla;tipodato;liminf;limsup;longitud;tipocontrol;ancho;alto;defecto;parametro;obligatorio;traerde;lineasola;cierrafila;titulo;imagen;tip;mensaje;compania;tftraerde;campotraerde;subformato;fechaconsul;finalidad;causaext;estado;orden;formatoxml;tagxml;etiqxml;cargoxitem
INFECCION INTRAHOSPITALARIA;14;PACIENTE SEGURO;PACIENTE SEGURO;1;C;0;0;5;Cuadro de Chequeo;0;0;;;0;;0;1;0;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;21;0;;;
INFECCION INTRAHOSPITALARIA;17;<b> LOCALIZACIÓN DE LA INFECCIÓN </b>;PACIENTE SEGURO;1;;0;0;;;;;;;;;;;1;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;7;;;;
INFECCION INTRAHOSPITALARIA;19;<b> CONFIRMACIÓN LABORATORIO </b>;PACIENTE SEGURO;1;;0;0;;;;;;;;;;;1;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;11;;;;
INFECCION INTRAHOSPITALARIA;18;<b> EXAMÉN FÍSICO, LESIONES Y/O HALLAZGOS </b>;PACIENTE SEGURO;1;;0;0;;;;;;;;;;;1;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;9;;;;
INFECCION INTRAHOSPITALARIA;16;<b> FACTORES PREDISPONENTES ACTUALES </b>;PACIENTE SEGURO;1;;0;0;;;;;;;;;;;1;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;5;;;;
INFECCION INTRAHOSPITALARIA;21;<b> ANTIBIOTICOTERAPIA </b>;PACIENTE SEGURO;1;;0;0;;;;;;;;;;;1;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;15;;;;
INFECCION INTRAHOSPITALARIA;20;<b> ANÁLISIS DEL CASO </b>;PACIENTE SEGURO;1;;0;0;;;;;;;;;;;1;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;13;;;;
INFECCION INTRAHOSPITALARIA;15;<h3>FORMATO INFECCIÓN INTRAHOSPITALARIA </h3>;PACIENTE SEGURO;1;;0;0;;;;;;;;;;;1;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;1;;;;
INFECCION INTRAHOSPITALARIA;5;LOCALIZACIÓN DE LA INFECCIÓN;PACIENTE SEGURO;1;C;0;0;0;Lista Opciones;0;0;;";Bacteremia;ORL - Boca, nariz, oídos, ojos;Piel y faneras;Sistema cardio vascular;Sistema gastro intestinal;Sistema genito urinario;Sistema nervioso central;Sistema respiratorio; Otra localización";1;;0;1;0;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;8;0;;;
INFECCION INTRAHOSPITALARIA;6;EXAMÉN FÍSICO, LESIONES Y/O HALLAZGOS ;PACIENTE SEGURO;1;C;0;0;600;Area de Texto;600;100;;;1;;1;1;0;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;10;0;;;
INFECCION INTRAHOSPITALARIA;7;CONFIRMADO POR LABORATORIO;PACIENTE SEGURO;1;C;0;0;0;Lista Opciones;0;0;;";Con confirmación;Sin confirmación";1;;0;1;0;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;12;0;;;
INFECCION INTRAHOSPITALARIA;3;HORA DEL EVENTO;PACIENTE SEGURO;1;C;0;0;50;Cuadro de Texto;50;0;;;1;;0;1;0;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;4;0;;;
INFECCION INTRAHOSPITALARIA;4;FACTORES PREDISPONENTES ACTUALES;PACIENTE SEGURO;1;C;0;0;0;Lista Opciones;0;0;;" No presenta;Anemia; Antibioticoterapia; Cancer; Catéter arterial; Catéter venoso central; Catéter venoso periférico; Corticoides; Desnutrición; Diabetes; Hemodialisis; Infección;Inmovilidad;Inmunosupresión;Intubación nasotraqueal; Intubación orotraqueal; Leucorrea; Nefropatia; Nutrición parenteral o enteral; Obesidad; Oxigenoterapia; Revisión uterina; Sonda nasogastrica; Sonda vesical; Terapia respiratoria;Otro";1;;0;1;0;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;6;0;;;
INFECCION INTRAHOSPITALARIA;10;NOTIFICAR A;PACIENTE SEGURO;1;;0;0;;;;;;;;;;;1;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;17;;;;
INFECCION INTRAHOSPITALARIA;1;SERVICIO;PACIENTE SEGURO;1;C;0;0;0;Lista Opciones;0;0;;";ADICCIONES;CRONICAS MUJERES;CRONICOS HOMBRES;INIMPUTABLES;INTERMEDIOS HOMBRES;INTERMEDIOS MUJERES;JUAN CIUDAD;LARGA ESTANCIA;OBSERVACION;PISO HOMBRES;UCA;UCA JUAN CIUDAD;UCI-P";1;;0;1;0;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;2;0;;;
INFECCION INTRAHOSPITALARIA;2;FECHA DEL EVENTO;PACIENTE SEGURO;1;C;0;0;10;Fecha;80;0;;;1;;0;1;0;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;3;0;;;
INFECCION INTRAHOSPITALARIA;8;ANALISIS DEL CASO;PACIENTE SEGURO;1;C;0;0;600;Area de Texto;600;100;;;1;;1;1;0;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;14;0;;;
INFECCION INTRAHOSPITALARIA;9;ANTIBIOTICOTERAPIA;PACIENTE SEGURO;1;C;0;0;0;Lista Opciones;0;0;;";No aplica;Si aplica";1;;0;1;0;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;16;0;;;
INFECCION INTRAHOSPITALARIA;12;FARMACIA;PACIENTE SEGURO;1;C;0;0;5;Cuadro de Chequeo;0;0;;;0;;0;1;0;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;19;0;;;
INFECCION INTRAHOSPITALARIA;11;JEFE DE ENFERMERIA;PACIENTE SEGURO;1;C;0;0;5;Cuadro de Chequeo;0;0;;;0;;0;1;0;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;18;0;;;
INFECCION INTRAHOSPITALARIA;13;MEDICO GENERAL;PACIENTE SEGURO;1;C;0;0;5;Cuadro de Chequeo;0;0;;;0;;0;1;0;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;20;0;;;
