"formato";"perfil";"permiso";"tipoformato";"compania"
"INFECCION INTRAHOSPITALARIA";"JEFE DE ENFERMERIA";"Impresion";"PACIENTE SEGURO";"CLINICA SAN JUAN DE DIOS"
"INFECCION INTRAHOSPITALARIA";"JEFE DE ENFERMERIA";"Escritura";"PACIENTE SEGURO";"CLINICA SAN JUAN DE DIOS"
"INFECCION INTRAHOSPITALARIA";"PSIQUIATRA";"Impresion";"PACIENTE SEGURO";"CLINICA SAN JUAN DE DIOS"
"INFECCION INTRAHOSPITALARIA";"MEDICO GENERAL";"Escritura";"PACIENTE SEGURO";"CLINICA SAN JUAN DE DIOS"
"INFECCION INTRAHOSPITALARIA";"MEDICO GENERAL";"Impresion";"PACIENTE SEGURO";"CLINICA SAN JUAN DE DIOS"
"INFECCION INTRAHOSPITALARIA";"MEDICO GENERAL DE URGENCIAS";"Escritura";"PACIENTE SEGURO";"CLINICA SAN JUAN DE DIOS"
"INFECCION INTRAHOSPITALARIA";"MEDICO GENERAL DE URGENCIAS";"Impresion";"PACIENTE SEGURO";"CLINICA SAN JUAN DE DIOS"
"INFECCION INTRAHOSPITALARIA";"PSIQUIATRA";"Escritura";"PACIENTE SEGURO";"CLINICA SAN JUAN DE DIOS"
"INFECCION INTRAHOSPITALARIA";"RESIDENTE";"Impresion";"PACIENTE SEGURO";"CLINICA SAN JUAN DE DIOS"
"INFECCION INTRAHOSPITALARIA";"RESIDENTE";"Escritura";"PACIENTE SEGURO";"CLINICA SAN JUAN DE DIOS"
"INFECCION INTRAHOSPITALARIA";"SIAU";"Impresion";"PACIENTE SEGURO";"CLINICA SAN JUAN DE DIOS"
