formato;id_item;item;tipoformato;pantalla;tipodato;liminf;limsup;longitud;tipocontrol;ancho;alto;defecto;parametro;obligatorio;traerde;lineasola;cierrafila;titulo;imagen;tip;mensaje;compania;tftraerde;campotraerde;subformato;fechaconsul;finalidad;causaext;estado;orden;formatoxml;tagxml;etiqxml;cargoxitem
TECNOVIGILANCIA;1;<h3> TECNOVIGILANCIA </h3>;PACIENTE SEGURO;1;;0;0;0;;;;;;;;;;1;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;1;;;;
TECNOVIGILANCIA;20;<b> Uso de dispositivo médico</b>;PACIENTE SEGURO;1;;0;0;0;;;;;;;;;;1;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;19;;;;
TECNOVIGILANCIA;34;<b> CAUSA DEL EVENTO O INCIDENTE ADVERSO </b>;PACIENTE SEGURO;1;;0;0;0;;;;;;;;;;1;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;32;;;;
TECNOVIGILANCIA;36;<b>NOTIFICAR A</b>;PACIENTE SEGURO;1;;0;0;0;;;;;;;;;;1;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;34;;;;
TECNOVIGILANCIA;39;PACIENTE SEGURO;PACIENTE SEGURO;1;C;0;0;5;Cuadro de Chequeo;0;0;;;0;;0;1;;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;37;0;;;
TECNOVIGILANCIA;23;FECHA DEL EVENTO O INCIDENTE ADVERSO;PACIENTE SEGURO;1;C;0;0;10;Fecha;80;0;;;1;;0;0;;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;22;0;;;
TECNOVIGILANCIA;3;<b> IDENTIFICACIÓN DEL DISPOSITIVO MÉDICO </b>;PACIENTE SEGURO;1;;0;0;0;;;;;;;;;;1;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;2;;;;
TECNOVIGILANCIA;4;<b> Nombre genérico del dispositivo médico</b>;PACIENTE SEGURO;1;;0;0;0;;;;;;;;;;1;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;3;;;;
TECNOVIGILANCIA;5;NOMBRE GENERICO;PACIENTE SEGURO;1;L;0;0;0;Area de Texto;800;50;;;1;;1;1;;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;4;0;;;
TECNOVIGILANCIA;6;<b> Nombre comercial del dispositivo médico </b>;PACIENTE SEGURO;1;;0;0;0;;;;;;;;;;1;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;5;;;;
TECNOVIGILANCIA;13;SERIAL;PACIENTE SEGURO;1;L;0;0;350;Cuadro de Texto;350;0;;;0;;0;1;;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;12;0;;;
TECNOVIGILANCIA;14;<b> Nombre o razón social del fabricante </b>;PACIENTE SEGURO;1;;0;0;0;;;;;;;;;;1;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;13;;;;
TECNOVIGILANCIA;27;<b> Clasificación </b>;PACIENTE SEGURO;1;;0;0;0;;;;;;;;;;1;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;25;;;;
TECNOVIGILANCIA;31;<b> Desenlace del evento / incidente adverso </b>;PACIENTE SEGURO;1;;0;0;0;;;;;;;;;;1;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;29;;;;
TECNOVIGILANCIA;32;DESENLACE DEL EVENTO O INCIDENTE ADVERSO;PACIENTE SEGURO;1;L;0;0;0;Lista Opciones;0;0;;";Muerte;Daño de una funcion o estructura corporal;Enfermedad o daño que amenace la vida;Hospitalizacion inicial o prolongada;Requiere intervencion medica o quirurgica;No hubo daño;Otro";1;;0;0;;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;30;0;;;
TECNOVIGILANCIA;7;NOMBRE COMERCIAL;PACIENTE SEGURO;1;L;0;0;0;Area de Texto;800;50;;;0;;1;1;;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;6;0;;;
TECNOVIGILANCIA;15;RAZON SOCIAL FABRICANTE;PACIENTE SEGURO;1;L;0;0;0;Area de Texto;800;50;;;0;;1;1;;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;14;0;;;
TECNOVIGILANCIA;21;INDIQUE SI ES DISPOSITIVO MÉDICO HA SIDO UTILIZADO MÁS DE UNA VEZ;PACIENTE SEGURO;1;L;0;0;0;Lista Opciones;0;0;;";Si;No";1;;0;1;;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;20;0;;;
TECNOVIGILANCIA;24;FECHA DE ELABORACIÓN DEL REPORTE;PACIENTE SEGURO;1;C;0;0;10;Fecha;80;0;;;1;;0;1;;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AN;23;0;;;
TECNOVIGILANCIA;28;CLASIFICACION;PACIENTE SEGURO;1;L;0;0;0;Lista Opciones;0;0;;";Evento adverso o serio;Incidente adverso serio;Evento adverso no serio;Incidente adverso no serio";1;;0;1;;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;26;0;;;
TECNOVIGILANCIA;33;¿CUAL?;PACIENTE SEGURO;1;L;0;0;300;Cuadro de Texto;300;0;;;0;;0;1;;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;31;0;;;
TECNOVIGILANCIA;2;SERVICIO;PACIENTE SEGURO;1;L;0;0;0;Lista Opciones;0;0;;";ADICCIONES;CRONICAS MUJERES;CRONICOS HOMBRES;INIMPUTABLES;INTERMEDIOS HOMBRES;INTERMEDIOS MUJERES;JUAN CIUDAD;LARGA ESTANCIA;OBSERVACION;PISO HOMBRES;UCA;UCA JUAN CIUDAD;UCI-P";1;;0;1;;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AN;2;0;;;
TECNOVIGILANCIA;37;JEFE DE ENFERMERIA;PACIENTE SEGURO;1;C;0;0;5;Cuadro de Chequeo;0;0;;;0;;0;1;;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;35;0;;;
TECNOVIGILANCIA;8;<b> Registro sanitario o permiso de comercialización </b>;PACIENTE SEGURO;1;;0;0;0;;;;;;;;;;1;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;7;;;;
TECNOVIGILANCIA;16;<b> Nombre o razón social del importador y/o distribuidor </b>;PACIENTE SEGURO;1;;0;0;0;;;;;;;;;;1;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;15;;;;
TECNOVIGILANCIA;22;<b> EVENTO O INCIDENTE ADVERSO </b>;PACIENTE SEGURO;1;;0;0;0;;;;;;;;;;1;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;21;;;;
TECNOVIGILANCIA;25;<b> Detección del evento/incidente adverso </b>;PACIENTE SEGURO;1;;0;0;0;;;;;;;;;;1;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;23;;;;
TECNOVIGILANCIA;29;<b> Descripción del evento o incidente adverso </b>;PACIENTE SEGURO;1;;0;0;0;;;;;;;;;;1;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;27;;;;
TECNOVIGILANCIA;38;MEDICO GENERAL;PACIENTE SEGURO;1;C;0;0;5;Cuadro de Chequeo;0;0;;;0;;0;1;;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;36;0;;;
TECNOVIGILANCIA;9;REGISTRO SANITARIO;PACIENTE SEGURO;1;L;0;0;300;Cuadro de Texto;800;0;;;0;;1;1;;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;8;0;;;
TECNOVIGILANCIA;17;RAZON SOCIAL IMPORTADOR O DISTRIBUIDOR;PACIENTE SEGURO;1;L;0;0;0;Area de Texto;800;50;;;0;;1;1;;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;16;0;;;
TECNOVIGILANCIA;30;DESCRIPCION EVENTO O INCIDENTE;PACIENTE SEGURO;1;L;0;0;0;Area de Texto;800;70;;;1;;1;1;;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;28;0;;;
TECNOVIGILANCIA;26;DETECCION DEL EVENTO O INCIDENTE ADVERSO;PACIENTE SEGURO;1;L;0;0;0;Lista Opciones;0;0;;";Antes del uso del Dispositivo Medico;Durante el uso del Dispositivo Medico;Despues del uso del Dispositivo Medico";1;;0;1;;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;24;0;;;
TECNOVIGILANCIA;10;LOTE;PACIENTE SEGURO;1;L;0;0;350;Cuadro de Texto;350;0;;;0;;0;0;;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;9;0;;;
TECNOVIGILANCIA;18;<b> Area de funcionamiento del dispositivo médico en el momento del evento/incidente </b>;PACIENTE SEGURO;1;;0;0;0;;;;;;;;;;1;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;17;;;;
TECNOVIGILANCIA;11;MODELO;PACIENTE SEGURO;1;L;0;0;350;Cuadro de Texto;350;0;;;0;;0;1;;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;10;0;;;
TECNOVIGILANCIA;19;AREA DE FUNCIONAMIENTO;PACIENTE SEGURO;1;L;0;0;0;Lista Opciones;0;0;;";ADICCIONES;CRONICAS MUJERES;CRONICOS HOMBRES;INIMPUTABLES;INTERMEDIOS HOMBRES;INTERMEDIOS MUJERES;JUAN CIUDAD;URGENCIAS;PISO HOMBRES;UCA;UCA JUAN CIUDAD;UCI-P";1;;0;1;;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;18;0;;;
TECNOVIGILANCIA;12;REFERENCIA;PACIENTE SEGURO;1;L;0;0;350;Cuadro de Texto;350;0;;;0;;0;0;;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;11;0;;;
