formato;id_item;item;tipoformato;pantalla;tipodato;liminf;limsup;longitud;tipocontrol;ancho;alto;defecto;parametro;obligatorio;traerde;lineasola;cierrafila;titulo;imagen;tip;mensaje;compania;tftraerde;campotraerde;subformato;fechaconsul;finalidad;causaext;estado;orden;formatoxml;tagxml;etiqxml;cargoxitem
TECNOVIGILANCIA;1;<h3> TECNOVIGILANCIA </h3>;PACIENTE SEGURO;1;;0;0;;;;;;;;;;;1;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;1;;;;
TECNOVIGILANCIA;2;DESCRIPCIÓN DEL INCIDENTE ADVERSO;PACIENTE SEGURO;1;;0;0;;;;;;;;;;;1;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;2;;;;
TECNOVIGILANCIA;3;FECHA DEL INCIDENTE ADVERSO SOSPECHADO;PACIENTE SEGURO;1;C;0;0;10;Fecha;80;0;;;1;;0;1;;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;3;0;;;
TECNOVIGILANCIA;4;TIPO DE REPORTE;PACIENTE SEGURO;1;C;0;0;0;Lista Opciones;0;0;;";Primera Vez;Seguimiento";1;;0;1;;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;4;0;;;
TECNOVIGILANCIA;5;SEÑAL(ES) SEGÚN EL (LOS) DESENLACE(S) QUE APLIQUE(N);PACIENTE SEGURO;1;;0;0;;;;;;;;;;;1;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;5;;;;
TECNOVIGILANCIA;6;MUERTE;PACIENTE SEGURO;1;C;0;0;5;Cuadro de Chequeo;0;0;;;0;;0;1;;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;6;0;;;
TECNOVIGILANCIA;7;DAÑO DE UNA FUNCION O ESTRUCTURA CORPORAL;PACIENTE SEGURO;1;C;0;0;5;Cuadro de Chequeo;0;0;;;0;;0;1;;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;7;0;;;
TECNOVIGILANCIA;8;ENFERMEDAD O DAÑO QUE AMENACE LA VIDA;PACIENTE SEGURO;1;C;0;0;5;Cuadro de Chequeo;0;0;;;0;;0;1;;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;8;0;;;
TECNOVIGILANCIA;9;INTERVENCIÓN MÉDICA O QUIRÚRGICA;PACIENTE SEGURO;1;C;0;0;5;Cuadro de Chequeo;0;0;;;0;;0;1;;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;9;0;;;
TECNOVIGILANCIA;10;HOSPITALIZACIÓN INICIAL O PROLONGADA;PACIENTE SEGURO;1;C;0;0;5;Cuadro de Chequeo;0;0;;;0;;0;1;;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;10;0;;;
TECNOVIGILANCIA;11;OTROS;PACIENTE SEGURO;1;C;0;0;5;Cuadro de Chequeo;0;0;;;0;;0;1;;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;11;0;;;
TECNOVIGILANCIA;12;¿CUALES?;PACIENTE SEGURO;1;C;0;0;10000;Area de Texto;800;50;;;0;;0;1;;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;12;0;;;
TECNOVIGILANCIA;13;DESCRIPCIÓN DEL INCIDENTE ADVERSO;PACIENTE SEGURO;1;;0;0;;;;;;;;;;;1;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;13;;;;
TECNOVIGILANCIA;14;DESCRIPCION INCIDENTE;PACIENTE SEGURO;1;L;0;0;0;Area de Texto;800;100;;;1;;1;1;;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;14;0;;;
TECNOVIGILANCIA;15;DETECCIÓN DE LA CAUSA;PACIENTE SEGURO;1;;0;0;;;;;;;;;;;1;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;15;;;;
TECNOVIGILANCIA;16;¿SE DETECTÓ LA CAUSA?;PACIENTE SEGURO;1;C;0;0;0;Lista Opciones;0;0;;";Si;No";1;;0;1;;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;16;0;;;
TECNOVIGILANCIA;17;¿CUAL?;PACIENTE SEGURO;1;L;0;0;0;Area de Texto;820;70;;;0;;0;1;;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;17;0;;;
TECNOVIGILANCIA;18;RESOLUCIÓN DEL PROBLEMA;PACIENTE SEGURO;1;;0;0;;;;;;;;;;;1;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;18;;;;
TECNOVIGILANCIA;19;¿SE RESOLVIÓ EL PROBLEMA?;PACIENTE SEGURO;1;C;0;0;0;Lista Opciones;0;0;;";Si;No";1;;0;1;;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;19;0;;;
TECNOVIGILANCIA;20;MEDIDAS QUE SE TOMARON;PACIENTE SEGURO;1;L;0;0;0;Area de Texto;800;70;;;0;;0;1;;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;20;0;;;
TECNOVIGILANCIA;21;INFORMACIÓN DEL DISPOSITIVO MÉDICO INVOLUCRADO;PACIENTE SEGURO;1;;0;0;;;;;;;;;;;1;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;21;;;;
TECNOVIGILANCIA;22;Nombre generico del dispositivo medico;PACIENTE SEGURO;1;;0;0;;;;;;;;;;;1;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;22;;;;
TECNOVIGILANCIA;23;NOMBRE GENERICO DISPOSITIVO;PACIENTE SEGURO;1;L;0;0;0;Area de Texto;800;70;;;1;;1;1;;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;23;0;;;
TECNOVIGILANCIA;24;Nombre comercial del dispositivo medico;PACIENTE SEGURO;1;;0;0;;;;;;;;;;;1;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;24;;;;
TECNOVIGILANCIA;25;NOMBRE COMERCIAL DISPOSITIVO;PACIENTE SEGURO;1;L;0;0;0;Area de Texto;800;70;;;1;;1;1;;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;25;0;;;
TECNOVIGILANCIA;26;Fabricante;PACIENTE SEGURO;1;;0;0;;;;;;;;;;;1;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;26;;;;
TECNOVIGILANCIA;27;FABRICANTE;PACIENTE SEGURO;1;L;0;0;0;Area de Texto;800;70;;;1;;1;1;;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;27;0;;;
TECNOVIGILANCIA;28;Número de lote o serie;PACIENTE SEGURO;1;;0;0;;;;;;;;;;;1;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;28;;;;
TECNOVIGILANCIA;29;NUMERO LOTE;PACIENTE SEGURO;1;L;0;0;0;Area de Texto;800;70;;;1;;1;1;;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;29;0;;;
TECNOVIGILANCIA;30;Modelo / Referencia;PACIENTE SEGURO;1;;0;0;;;;;;;;;;;1;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;30;;;;
TECNOVIGILANCIA;31;MODELO REFERENCIA;PACIENTE SEGURO;1;L;0;0;0;Area de Texto;800;70;;;1;;1;1;;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;31;0;;;
TECNOVIGILANCIA;32;Versión del software;PACIENTE SEGURO;1;;0;0;;;;;;;;;;;1;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;32;;;;
TECNOVIGILANCIA;33;VERSION SOFTWARE;PACIENTE SEGURO;1;L;0;0;0;Area de Texto;800;70;;;0;;1;1;;;;;CLINICA SAN JUAN DE DIOS;;;0;;;;AC;33;0;;;
