formato;perfil;permiso;tipoformato;compania
TECNOVIGILANCIA;JEFE DE ENFERMERIA;Escritura;PACIENTE SEGURO;CLINICA SAN JUAN DE DIOS
TECNOVIGILANCIA;MEDICO GENERAL DE URGENCIAS;Escritura;PACIENTE SEGURO;CLINICA SAN JUAN DE DIOS
TECNOVIGILANCIA;PSIQUIATRA;Impresion;PACIENTE SEGURO;CLINICA SAN JUAN DE DIOS
TECNOVIGILANCIA;MEDICO GENERAL;Impresion;PACIENTE SEGURO;CLINICA SAN JUAN DE DIOS
TECNOVIGILANCIA;RESIDENTE;Impresion;PACIENTE SEGURO;CLINICA SAN JUAN DE DIOS
TECNOVIGILANCIA;PSIQUIATRA;Escritura;PACIENTE SEGURO;CLINICA SAN JUAN DE DIOS
TECNOVIGILANCIA;MEDICO GENERAL;Escritura;PACIENTE SEGURO;CLINICA SAN JUAN DE DIOS
TECNOVIGILANCIA;RESIDENTE;Escritura;PACIENTE SEGURO;CLINICA SAN JUAN DE DIOS
TECNOVIGILANCIA;JEFE DE ENFERMERIA;Impresion;PACIENTE SEGURO;CLINICA SAN JUAN DE DIOS
TECNOVIGILANCIA;MEDICO GENERAL DE URGENCIAS;Impresion;PACIENTE SEGURO;CLINICA SAN JUAN DE DIOS
TECNOVIGILANCIA;SIAU;Impresion;PACIENTE SEGURO;CLINICA SAN JUAN DE DIOS
