Cargo;Asistencial;Compania;Tratante;VistoBuenoJefe;VistoBuenoAuxiliar;Interpretar;AsigRutaImg;AutorizaEgr;VistoBuenoFarmacia
ADMINISTRADOR;1;CLINICA SAN JUAN DE DIOS;0;0;0;0;0;0;0
APRENDICES SENA - LECTIVA;0;CLINICA SAN JUAN DE DIOS;0;0;0;0;0;0;0
ASISTENTE DE SISTEMAS;0;CLINICA SAN JUAN DE DIOS;0;0;0;0;0;0;0
AUDITORIA;0;CLINICA SAN JUAN DE DIOS;0;0;0;0;0;0;0
AUXILIAR ADMINISTRATIVO;0;CLINICA SAN JUAN DE DIOS;0;0;0;0;0;0;0
AUXILIAR DE ENFERMERIA;1;CLINICA SAN JUAN DE DIOS;0;0;1;0;0;0;0
AUXILIAR DE FARMACIA;0;CLINICA SAN JUAN DE DIOS;0;0;0;0;0;0;0
AUXILIAR DE MANTENIMIENTO;0;CLINICA SAN JUAN DE DIOS;0;0;0;0;0;0;0
AUXILIAR DE SUMINISTROS;0;CLINICA SAN JUAN DE DIOS;0;0;0;0;0;0;0
AUXILIAR DE TERAPIA;1;CLINICA SAN JUAN DE DIOS;0;0;0;0;0;0;0
CAPELLAN;0;CLINICA SAN JUAN DE DIOS;0;0;0;0;0;0;0
CARTERA;0;CLINICA SAN JUAN DE DIOS;0;0;0;0;0;0;0
CLINICA ADICCIONES;1;CLINICA SAN JUAN DE DIOS;0;0;0;0;0;0;0
COMUNICACIONES;0;CLINICA SAN JUAN DE DIOS;0;0;0;0;0;0;0
CONTADOR;0;CLINICA SAN JUAN DE DIOS;0;0;0;0;0;0;0
CONTRATACION SALUD;0;CLINICA SAN JUAN DE DIOS;0;0;0;0;0;0;0
COSTOS;0;CLINICA SAN JUAN DE DIOS;0;0;0;0;0;0;0
DIRECCION;0;CLINICA SAN JUAN DE DIOS;0;0;0;0;0;0;0
DIRECCION ADMINISTRATIVA;0;CLINICA SAN JUAN DE DIOS;0;0;0;0;0;0;0
DIRECCION CIENTIFICA;1;CLINICA SAN JUAN DE DIOS;0;0;0;1;1;1;0
DIRECCION GENERAL;0;CLINICA SAN JUAN DE DIOS;0;0;0;0;0;0;0
EDUCADOR FISICO;1;CLINICA SAN JUAN DE DIOS;0;0;0;0;0;0;0
ESTADISTICA;0;CLINICA SAN JUAN DE DIOS;0;0;0;0;0;0;0
FACTURACION;0;CLINICA SAN JUAN DE DIOS;0;0;0;0;0;0;0
GERENCIA;0;CLINICA SAN JUAN DE DIOS;0;0;0;0;0;0;0
GESTOR  DE ALIMENTOS;0;CLINICA SAN JUAN DE DIOS;0;0;0;0;0;0;0
