compania;fecha;usucrea;entidad;contrato;nocontrato;ambito;pabellon;cup
CLINICA SAN JUAN DE DIOS;05/11/2013 14:33;PATRICIA PINEDA (Contratacion Salud);817001773-3;CONTRATO ASOCIACION INDIGENA DEL CAUCA.;120-2012;Hospitalizacion;UCI-P;S12750
CLINICA SAN JUAN DE DIOS;05/11/2013 14:33;PATRICIA PINEDA (Contratacion Salud);817001773-3;CONTRATO ASOCIACION INDIGENA DEL CAUCA.;120-2012;Hospitalizacion;UCA JUAN CIUDAD;S12740
CLINICA SAN JUAN DE DIOS;05/11/2013 14:34;PATRICIA PINEDA (Contratacion Salud);817001773-3;CONTRATO ASOCIACION INDIGENA DEL CAUCA.;120-2012;Hospitalizacion;UCA;S12740
CLINICA SAN JUAN DE DIOS;05/11/2013 14:34;PATRICIA PINEDA (Contratacion Salud);817001773-3;CONTRATO ASOCIACION INDIGENA DEL CAUCA.;120-2012;Hospitalizacion;PISO MUJERES;S12741
CLINICA SAN JUAN DE DIOS;05/11/2013 14:34;PATRICIA PINEDA (Contratacion Salud);817001773-3;CONTRATO ASOCIACION INDIGENA DEL CAUCA.;120-2012;Hospitalizacion;PISO HOMBRES;S12741
CLINICA SAN JUAN DE DIOS;05/11/2013 14:34;PATRICIA PINEDA (Contratacion Salud);817001773-3;CONTRATO ASOCIACION INDIGENA DEL CAUCA.;120-2012;Hospitalizacion;JUAN CIUDAD;S12741
CLINICA SAN JUAN DE DIOS;05/11/2013 14:34;PATRICIA PINEDA (Contratacion Salud);817001773-3;CONTRATO ASOCIACION INDIGENA DEL CAUCA.;120-2012;Hospitalizacion;INTERMEDIOS MUJERES;S12741
CLINICA SAN JUAN DE DIOS;05/11/2013 14:35;PATRICIA PINEDA (Contratacion Salud);817001773-3;CONTRATO ASOCIACION INDIGENA DEL CAUCA.;120-2012;Hospitalizacion;INTERMEDIOS HOMBRES;S12741
CLINICA SAN JUAN DE DIOS;05/11/2013 14:35;PATRICIA PINEDA (Contratacion Salud);817001773-3;CONTRATO ASOCIACION INDIGENA DEL CAUCA.;120-2012;Hospitalizacion;INIMPUTABLES;S12741
CLINICA SAN JUAN DE DIOS;05/11/2013 14:35;PATRICIA PINEDA (Contratacion Salud);817001773-3;CONTRATO ASOCIACION INDIGENA DEL CAUCA.;120-2012;Hospitalizacion;CRONICOS HOMBRES;S12741
CLINICA SAN JUAN DE DIOS;05/11/2013 14:35;PATRICIA PINEDA (Contratacion Salud);817001773-3;CONTRATO ASOCIACION INDIGENA DEL CAUCA.;120-2012;Hospitalizacion;CRONICAS MUJERES;S12741
CLINICA SAN JUAN DE DIOS;05/11/2013 14:35;PATRICIA PINEDA (Contratacion Salud);817001773-3;CONTRATO ASOCIACION INDIGENA DEL CAUCA.;120-2012;Hospitalizacion;ADICCIONES;S12741
CLINICA SAN JUAN DE DIOS;05/11/2013 14:39;PATRICIA PINEDA (Contratacion Salud);817001773-3;CONTRATO ASOCIACION INDIGENA DEL CAUCA.;120-2012;Urgencias;OBSERVACION;S20100
CLINICA SAN JUAN DE DIOS;05/11/2013 14:40;PATRICIA PINEDA (Contratacion Salud);817001773-3;CONTRATO ASOCIACION INDIGENA DEL CAUCA.;120-2012;Urgencias;SERVICIO TEMPORAL;S12741
CLINICA SAN JUAN DE DIOS;06/11/2013 14:56;PATRICIA PINEDA (Contratacion Salud);817000248-3;CONTRATO ASMETSALUD EPS-S.;B-212-12;Hospitalizacion;UCI-P;S12750
CLINICA SAN JUAN DE DIOS;06/11/2013 14:56;PATRICIA PINEDA (Contratacion Salud);817000248-3;CONTRATO ASMETSALUD EPS-S.;B-212-12;Hospitalizacion;UCA JUAN CIUDAD;S12740
CLINICA SAN JUAN DE DIOS;06/11/2013 14:57;PATRICIA PINEDA (Contratacion Salud);817000248-3;CONTRATO ASMETSALUD EPS-S.;B-212-12;Hospitalizacion;UCA;S12740
CLINICA SAN JUAN DE DIOS;06/11/2013 14:57;PATRICIA PINEDA (Contratacion Salud);817000248-3;CONTRATO ASMETSALUD EPS-S.;B-212-12;Hospitalizacion;PISO MUJERES;S12741
CLINICA SAN JUAN DE DIOS;06/11/2013 14:57;PATRICIA PINEDA (Contratacion Salud);817000248-3;CONTRATO ASMETSALUD EPS-S.;B-212-12;Hospitalizacion;PISO HOMBRES;S12741
CLINICA SAN JUAN DE DIOS;06/11/2013 14:57;PATRICIA PINEDA (Contratacion Salud);817000248-3;CONTRATO ASMETSALUD EPS-S.;B-212-12;Hospitalizacion;JUAN CIUDAD;S12741
CLINICA SAN JUAN DE DIOS;06/11/2013 14:57;PATRICIA PINEDA (Contratacion Salud);817000248-3;CONTRATO ASMETSALUD EPS-S.;B-212-12;Hospitalizacion;INTERMEDIOS MUJERES;S12741
CLINICA SAN JUAN DE DIOS;06/11/2013 14:58;PATRICIA PINEDA (Contratacion Salud);817000248-3;CONTRATO ASMETSALUD EPS-S.;B-212-12;Hospitalizacion;INTERMEDIOS HOMBRES;S12741
CLINICA SAN JUAN DE DIOS;06/11/2013 14:58;PATRICIA PINEDA (Contratacion Salud);817000248-3;CONTRATO ASMETSALUD EPS-S.;B-212-12;Hospitalizacion;INIMPUTABLES;S12741
CLINICA SAN JUAN DE DIOS;06/11/2013 14:58;PATRICIA PINEDA (Contratacion Salud);817000248-3;CONTRATO ASMETSALUD EPS-S.;B-212-12;Hospitalizacion;CRONICOS HOMBRES;S12741
CLINICA SAN JUAN DE DIOS;06/11/2013 14:58;PATRICIA PINEDA (Contratacion Salud);817000248-3;CONTRATO ASMETSALUD EPS-S.;B-212-12;Hospitalizacion;CRONICAS MUJERES;S12741
CLINICA SAN JUAN DE DIOS;06/11/2013 14:59;PATRICIA PINEDA (Contratacion Salud);817000248-3;CONTRATO ASMETSALUD EPS-S.;B-212-12;Hospitalizacion;ADICCIONES;S12741
CLINICA SAN JUAN DE DIOS;06/11/2013 15:09;PATRICIA PINEDA (Contratacion Salud);817001773-3;CONTRATO ASOCIACION INDIGENA DEL CAUCA.;214-2013;Hospitalizacion;UCI-P;S12750
CLINICA SAN JUAN DE DIOS;06/11/2013 15:09;PATRICIA PINEDA (Contratacion Salud);817001773-3;CONTRATO ASOCIACION INDIGENA DEL CAUCA.;214-2013;Hospitalizacion;UCA JUAN CIUDAD;S12740
CLINICA SAN JUAN DE DIOS;06/11/2013 15:09;PATRICIA PINEDA (Contratacion Salud);817001773-3;CONTRATO ASOCIACION INDIGENA DEL CAUCA.;214-2013;Hospitalizacion;UCA;S12740
